Name,Price,Rating,Release,Follows,Online,Peak,Genre
Olympic Games Tokyo 2020 – The Official Video Game™,$39.99,48.69%,Jun 2021,"6,194",9,"4,064",Party-Game
Jelly Brawl: Classic,Free,65.37%,Aug 2020,777,9,59,Party-Game
Exploding Kittens® 2,$12.49,69.97%,Aug 2024,"2,053",9,147,Party-Game
Tools Up!,$6.75,73.23%,Dec 2019,"10,046",9,259,Party-Game
MageQuit,$14.99,88.68%,Oct 2019,"4,531",9,222,Party-Game
IRMÃO Grande & Brasileiro 2,$19.99,92.25%,Oct 2021,"1,362",9,128,Party-Game
Rummy 3D Premium,$8.99,63.76%,Jun 2019,238,8,18,Party-Game
Werewolves Revenge,Free,81.47%,Oct 2025,120,8,37,Party-Game
Use Your Words,$14.99,84.20%,Apr 2017,"3,719",8,487,Party-Game
Pick Me Pick Me,Free,61.45%,May 2025,"1,266",7,"1,405",Party-Game
Canasta 3D Premium,$9.99,66.52%,Jul 2019,175,7,21,Party-Game
Arcadegeddon,Free,71.18%,Jul 2023,"3,393",7,939,Party-Game
Trust No Bunny,$5.99,85.34%,Aug 2023,724,7,67,Party-Game
Mad Adventures,Free,86.41%,Nov 2022,"1,847",7,647,Party-Game
KarmaZoo,$9.99,83.28%,Nov 2023,"4,788",6,"1,085",Party-Game
8Bit Fiesta - The Drinking Game,Free,86.34%,Sep 2016,"1,862",6,142,Party-Game
WHAT THE PAK?!,$5.99,57.01%,Dec 2024,"5,740",5,"2,197",Party-Game
The Matriarch,$4.99,72.36%,Sep 2022,"6,817",5,490,Party-Game
Mimicry,$4.99,73.94%,Aug 2022,799,5,28,Party-Game
Deducto 2,$4.99,84.89%,Jun 2023,"4,259",5,265,Party-Game
What The Dub?!,$7.99,86.20%,Apr 2021,"2,128",5,76,Party-Game
Youtubers Life 3 - Stream Together!,$19.99,48.31%,May 2025,"2,216",4,541,Party-Game
SUPER BOMBERMAN R 2,$29.99,52.81%,Sep 2023,"4,466",4,220,Party-Game
Big Head DemoDemo,Free,64.08%,Nov 2025,—,4,10,Party-Game
LASERS,$2.99,65.56%,Jan 2024,"2,067",4,"1,201",Party-Game
Regular Human Basketball,$4.99,78.20%,Aug 2018,"2,106",4,384,Party-Game
BOTSU DemoDemo,Free,79.84%,Dec 2023,—,4,328,Party-Game
Fling to the Finish,$19.99,82.23%,Jan 2024,"10,355",4,"1,112",Party-Game
Escape From Mandrillia: Local Asymmetric VR+PC,$12.99,87.60%,Sep 2025,835,4,28,Party-Game
Conan Chop Chop,$14.99,59.03%,Mar 2022,"6,104",3,756,Party-Game
Umamusume: Pretty Derby - Party Dash,$44.99,67.22%,Aug 2024,"7,651",3,"1,851",Party-Game
SUPER CRAZY RHYTHM CASTLE,$4.99,73.65%,Nov 2023,"2,144",3,408,Party-Game
Bunny Guys!,$4.99,75.95%,Sep 2023,137,3,17,Party-Game
Out of Stock!,$6.99,37.07%,Oct 2025,185,2,29,Party-Game
Gigantosaurus: Dino Sports,$9.99,43.47%,Jun 2024,112,2,8,Party-Game
Dilemma Dungeon,Free,50.00%,Nov 2025,25,2,4,Party-Game
Party Bunch,Free,51.68%,Aug 2022,81,2,23,Party-Game
Trendpoker 3D: Free Online Poker,Free,65.87%,Apr 2020,235,2,72,Party-Game
Board game party,$2.39,66.94%,Aug 2025,231,2,25,Party-Game
Among Us 3D: VR,$9.99,72.01%,Nov 2022,"14,916",2,"1,144",Party-Game
