Name,Price,Rating,Release,Follows,Online,Peak,Genre
Forest of Tails: Arena,Free,82.63%,May 2024,361,0,12,3D-Fighter
Scirocco Thugs DemoDemo,Free,82.63%,May 2025,—,0,68,3D-Fighter
Mini Bash,$9.99,82.55%,Feb 2025,215,0,17,3D-Fighter
九州青云劫,Free,82.55%,Nov 2025,20,3,15,3D-Fighter
Brimstone Brawlers - Early Access,Free,82.46%,May 2020,874,0,35,3D-Fighter
Acts of Blood DemoDemo,Free,82.37%,Nov 2024,—,15,723,3D-Fighter
TEKKEN 7,$13.49,82.30%,Jun 2017,"209,575",512,"18,966",3D-Fighter
HYPER DEMON PVP,Free,82.29%,Nov 2025,171,0,29,3D-Fighter
DAVIGO: VR vs. PC,$18.74,82.23%,Nov 2023,"17,303",11,201,3D-Fighter
Ys vs. Trails in the Sky: Alternative Saga,$34.99,82.19%,Oct 2025,"1,977",3,131,3D-Fighter
QUANTAAR,Free,82.12%,Jun 2023,235,0,14,3D-Fighter
Elements Divided,$9.99,82.06%,Apr 2025,451,4,25,3D-Fighter
Anima Gate of Memories: I&II Remaster,$24.99,82.05%,Nov 2025,"2,192",1,28,3D-Fighter
Motor Racing Battle,$4.99,82.04%,Aug 2025,33,0,4,3D-Fighter
Shaolin vs Wutang Legends,$19.99,81.97%,Sep 2025,311,2,10,3D-Fighter
TEKKEN 8 - Armor KingDLC,$7.99,81.67%,Oct 2025,—,—,—,3D-Fighter
Cake Bash,$19.99,81.64%,Oct 2020,"5,071",8,155,3D-Fighter
GigaBash - Ultraman 4 Characters PackDLC,$9.99,81.56%,Nov 2023,—,—,—,3D-Fighter
Gym Simulator 24,$12.99,81.51%,Jul 2024,"5,985",16,597,3D-Fighter
King of Bones,$7.99,81.43%,Nov 2025,"1,824",7,38,3D-Fighter
Revenge of the Boxer: Moscow Criminality,$4.99,81.43%,Apr 2007,205,0,12,3D-Fighter
Valkyrie of Phantasm,$20.99,81.39%,Oct 2024,"8,128",0,277,3D-Fighter
Capcom Fighting Collection 2,$29.99,81.38%,May 2025,"10,058",36,"3,117",3D-Fighter
Broken Edge,$14.99,81.26%,Nov 2022,"2,201",3,106,3D-Fighter
Conviction,$3.99,81.25%,Dec 2023,45,0,2,3D-Fighter
I See Red,$9.99,81.19%,Oct 2022,"1,104",0,13,3D-Fighter
TOUHOU SKY ARENA MATSURI CLIMAX,$19.99,81.18%,Sep 2020,"3,877",1,51,3D-Fighter
GORN 2,$19.99,81.12%,Apr 2025,"2,997",10,288,3D-Fighter
The Tale of Fighting Nymphs,Free,81.08%,Oct 2021,840,0,75,3D-Fighter
幻境启示,Free,81.07%,Oct 2024,35,0,17,3D-Fighter
Just War Trains,Free,81.00%,Sep 2024,373,0,30,3D-Fighter
ShawnCena121,Free,80.88%,Dec 2021,88,0,7,3D-Fighter
Mark Out! The Wrestling Card Game,$14.99,80.84%,Jun 2023,458,0,20,3D-Fighter
Reality Rash,$17.99,80.83%,Jun 2025,292,0,4,3D-Fighter
KoreanPoliticalFighters : 2ND,Free,80.79%,Jun 2023,108,0,5,3D-Fighter
SOULCALIBUR VI,$59.99,80.51%,Oct 2018,"74,805",105,"14,684",3D-Fighter
Knock'Em Out,$7.99,80.43%,Apr 2025,"1,012",2,42,3D-Fighter
Air Twister,$4.99,80.38%,Nov 2023,648,0,15,3D-Fighter
ParryRobot,Free,80.30%,Dec 2023,76,0,4,3D-Fighter
Valor,$7.99,80.29%,Nov 2022,185,0,6,3D-Fighter
The RPS Game Show,Free,80.29%,Apr 2025,79,0,22,3D-Fighter
BLEACH Rebirth of Souls - Retsu UnohanaDLC,$7.99,80.28%,Aug 2025,—,—,—,3D-Fighter
WWE 2K24 ECW Punk PackDLC,$9.99,80.21%,May 2024,—,—,—,3D-Fighter
Fight School Simulator,$9.99,80.16%,Feb 2025,"1,362",3,37,3D-Fighter
