Name,Price,Rating,Release,Follows,Online,Peak,Genre
Tiny Bunny,$10.99,94.00%,Apr 2021,"27,746",185,"5,603",Visual-Novel
Find Love or Die Trying,$4.99,93.96%,Sep 2021,"16,467",6,545,Visual-Novel
What Remains of Edith Finch,$4.99,93.90%,Apr 2017,"108,350",72,564,Visual-Novel
Sucker for Love: First Date,$9.99,93.89%,Jan 2022,"10,560",2,247,Visual-Novel
Hello Charlotte EP3: Childhood's End,$3.99,93.86%,Jan 2018,"3,406",6,70,Visual-Novel
Fox Hime Zero,$1.99,93.82%,May 2018,"12,257",4,383,Visual-Novel
Ticy Adventure Club,Free,93.82%,Dec 2022,"3,773",0,175,Visual-Novel
Doki Doki Literature Club Fan PackDLC,$9.99,93.77%,Sep 2017,—,—,—,Visual-Novel
Aokana - Four Rhythms Across the Blue,$34.99,93.74%,Sep 2019,"19,962",32,484,Visual-Novel
No Case Should Remain Unsolved,$6.99,93.71%,Jan 2024,"10,366",7,594,Visual-Novel
Being a DIK - Season 1,$10.49,93.68%,Feb 2020,"55,877",188,"5,709",Visual-Novel
Beacon Pines,$19.99,93.68%,Sep 2022,"13,234",4,198,Visual-Novel
eden*,$9.99,93.67%,Jan 2015,"21,066",11,302,Visual-Novel
NUKITASHI 2,$12.49,93.66%,Feb 2024,"7,798",25,"1,252",Visual-Novel
of the Devil,Free,93.66%,Feb 2025,"3,038",14,127,Visual-Novel
Epiphyllum in Love,$2.39,93.63%,Mar 2020,"3,302",2,97,Visual-Novel
月に寄りそう乙女の作法,$39.99,93.58%,Jun 2022,"10,893",22,689,Visual-Novel
Class of '09: The Re-Up,$14.99,93.58%,Jun 2023,"8,843",30,284,Visual-Novel
Endless Monday: Dreams and Deadlines,$6.49,93.58%,May 2023,"4,985",5,96,Visual-Novel
missed messages.,Free,93.56%,May 2019,"13,296",2,184,Visual-Novel
候鸟,$10.99,93.56%,Jan 2023,"3,193",2,162,Visual-Novel
"South Scrimshaw, Part One",Free,93.55%,Jun 2023,"3,237",0,32,Visual-Novel
BLACK BOX LSS - The Shining Immortal,Free,93.55%,Oct 2023,"2,295",0,105,Visual-Novel
REFLEXIA Prototype ver.,Free,93.54%,Aug 2022,"3,684",3,580,Visual-Novel
Living With Sister: Monochrome Fantasy,$10.39,93.52%,Mar 2024,"47,157",173,"6,305",Visual-Novel
月影魅像-解放之羽-,$15.99,93.51%,Jul 2019,"8,157",4,163,Visual-Novel
Homicipher,$13.99,93.41%,Nov 2024,"25,090",50,"2,721",Visual-Novel
StarVaders,$18.74,93.41%,Apr 2025,"10,635",340,"1,278",Visual-Novel
OPUS: Echo of Starsong - Full Bloom Edition,$24.99,93.40%,Sep 2021,"28,216",5,567,Visual-Novel
Z.A.T.O. // I Love the World and Everything In It,Free,93.37%,Nov 2025,"2,561",158,427,Visual-Novel
Kaiju Princess 2,$17.99,93.35%,Dec 2024,"16,364",27,"3,828",Visual-Novel
9-nine-:Episode 2,$19.99,93.33%,Aug 2019,"6,068",11,63,Visual-Novel
NEKOPARA Extra,$4.99,93.31%,Jul 2018,"16,407",4,575,Visual-Novel
Dreamlike Love with Seira,$6.99,93.30%,Aug 2024,"4,380",4,175,Visual-Novel
Aokana - Four Rhythms Across the Blue - EXTRA1,$16.99,93.28%,Nov 2020,"4,500",2,199,Visual-Novel
The Hungry Lamb: Traveling in the Late Ming Dynasty,$9.99,93.27%,Apr 2024,"57,726",38,"5,093",Visual-Novel
Flowers -Le volume sur ete-,$19.99,93.25%,Jul 2018,"4,044",1,34,Visual-Novel
Tiny Shadows Interwoven Hearts,Free,93.25%,Nov 2025,639,56,748,Visual-Novel
The Arrogant Kaiju Princess and The Detective Servant,$14.99,93.23%,Dec 2023,"25,694",19,"1,907",Visual-Novel
