Name,Price,Rating,Release,Follows,Online,Peak,Genre
NEKOPARA Vol. 1,$9.99,93.05%,Dec 2014,"90,953",31,487,Dating-Sim
FreshWomen - Season 1,$13.99,93.04%,Aug 2022,"99,540",119,"3,383",Dating-Sim
像素女友,Free,92.98%,Aug 2020,"1,927",0,212,Dating-Sim
DEEP SPACE WAIFU,—,92.95%,May 2017,"14,916",2,268,Dating-Sim
Stella of The End,$7.99,92.92%,Sep 2023,"8,634",7,173,Dating-Sim
I Was a Teenage Exocolonist,$24.99,92.81%,Aug 2022,"13,717",68,688,Dating-Sim
your wife,$0.99,92.77%,Nov 2024,"12,876",253,"4,007",Dating-Sim
Monster Girl Island: Prologue,Free,92.71%,Jun 2019,"59,768",20,"1,538",Dating-Sim
私のリアルは充実しすぎている フルボイス版,$9.99,92.67%,Dec 2022,"6,910",12,"1,340",Dating-Sim
Maitetsu:Pure Station,$24.99,92.65%,Sep 2018,"23,638",1,339,Dating-Sim
Persona 3 Reload,$59.99,92.57%,Feb 2024,"101,991","1,436","45,002",Dating-Sim
9-nine-:Episode 4,$19.99,92.57%,Mar 2021,"3,688",4,111,Dating-Sim
PockeDate! - Pocket Dating Simulator,Free,92.57%,Nov 2024,"1,734",10,61,Dating-Sim
Lay a Beauty to Rest: The Darkness Peach Blossom Spring,$13.99,92.55%,Oct 2021,"14,923",3,897,Dating-Sim
Miracle Snack Shop,$9.99,92.53%,Dec 2018,"6,465",0,345,Dating-Sim
NOeSIS01_诉说谎言记忆物语,Free,92.50%,Mar 2020,"6,294",1,155,Dating-Sim
School Days,Free,92.48%,Aug 2024,"3,379",1,484,Dating-Sim
Cinderella Phenomenon - Otome/Visual Novel,Free,92.47%,Apr 2017,"8,796",11,354,Dating-Sim
Purrfect Apawcalypse: Love at Furst Bite,$4.99,92.41%,Feb 2021,"1,250",0,22,Dating-Sim
"Knowledge, or know Lady",$6.99,92.34%,Mar 2024,"56,320",27,"15,030",Dating-Sim
NOeSIS02_羽化,Free,92.32%,Nov 2021,"2,393",2,82,Dating-Sim
Little Busters! English Edition,$34.99,92.28%,Nov 2017,"8,275",11,179,Dating-Sim
OnlyCans: Thirst Date,Free,92.28%,Feb 2021,"2,248",2,156,Dating-Sim
KunKunNight,$1.99,92.25%,Nov 2023,"2,655",0,442,Dating-Sim
Kinkoi: Golden Loveriche,$34.99,92.23%,Jun 2021,"7,056",11,506,Dating-Sim
YOU and ME and HER: A Love Story,$29.99,92.22%,May 2020,"18,333",18,276,Dating-Sim
ウーマンコミュニケーション,$8.96,92.19%,Oct 2023,"2,878",1,777,Dating-Sim
冬日树下的回忆,Free,92.15%,Jun 2023,"1,038",0,85,Dating-Sim
FLAM EVAW,$9.99,92.14%,Oct 2025,"1,527",5,"3,275",Dating-Sim
Game Of Fate DemoDemo,Free,92.14%,Oct 2024,12,0,115,Dating-Sim
Lucy -The Eternity She Wished For-,$9.99,92.06%,Feb 2016,"32,797",2,193,Dating-Sim
Chill Pulse,$4.99,92.03%,May 2024,"11,024",205,"2,189",Dating-Sim
Umamusume: Pretty Derby,Free,92.02%,Jun 2025,"25,122","17,059","87,453",Dating-Sim
Letters From a Rainy Day -Oceans and Lace-,$16.99,92.00%,Jun 2021,"2,656",1,165,Dating-Sim
My succubus Kukula,Free,91.97%,Apr 2024,868,0,105,Dating-Sim
Some Some Convenience Store,$14.99,91.95%,Jan 2020,"7,897",1,783,Dating-Sim
project canvas 〜ヰ世界情緒育成計画〜,Free,91.95%,Apr 2024,"1,145",2,431,Dating-Sim
Otaku's Adventure,$6.99,91.89%,May 2019,"21,233",3,"2,792",Dating-Sim
Hamidashi Creative,$29.99,91.85%,Sep 2022,"8,724",23,382,Dating-Sim
Yog-Sothoth’s Yard,$10.99,91.79%,Oct 2023,"31,801",48,"5,459",Dating-Sim
Love Delivery,$14.99,91.77%,May 2022,"3,787",4,546,Dating-Sim
Angels with Scaly Wings™ / 鱗羽の天使,$9.99,91.76%,Jan 2017,"5,228",1,76,Dating-Sim
Flowers Blooming at the End of Summer,$0.99,91.75%,Feb 2021,"2,801",3,218,Dating-Sim
DDinosaur with Double D's,$6.99,91.75%,Feb 2025,"1,306",4,145,Dating-Sim
纸房子,$5.99,91.72%,Aug 2025,"10,461",32,"6,295",Dating-Sim
Chicken Hill,$2.99,91.70%,Jan 2025,357,0,79,Dating-Sim
Leap of Faith,$10.99,91.69%,Feb 2022,"9,619",33,505,Dating-Sim
Love Is All Around,$9.99,91.64%,Oct 2023,"104,727",27,"65,435",Dating-Sim
Date Everything!,$19.49,91.60%,Jun 2025,"31,436",485,"14,231",Dating-Sim
Otome Riron to Sono Shuuhen -École de Paris-,$39.99,91.56%,Dec 2023,"2,986",6,381,Dating-Sim
Wylde Flowers,$24.99,91.55%,Sep 2022,"9,155",89,653,Dating-Sim
花妖物语/Flower girl - 5个新角色大礼包/5 new characters bonusDLC,$3.99,91.55%,Sep 2021,—,—,—,Dating-Sim
Kindred Spirits on the Roof,$34.99,91.51%,Feb 2016,"13,312",3,228,Dating-Sim
Furry Angel Take In,$2.24,91.50%,Oct 2024,577,0,44,Dating-Sim
Kitty Powers' Matchmaker,$9.99,91.49%,Apr 2015,"3,525",25,204,Dating-Sim
DYNASTY WARRIORS: ORIGINS,$52.49,91.48%,Jan 2025,"88,997","1,024","69,483",Dating-Sim
NEKOPARA Vol. 0,$2.99,91.43%,Aug 2015,"38,176",8,960,Dating-Sim
Five Hearts Under One Roof season2,$22.99,91.41%,Nov 2025,"7,792",347,"1,400",Dating-Sim
The Legend of Heroes: Trails of Cold Steel,$19.99,91.37%,Aug 2017,"44,600",132,"1,628",Dating-Sim
Mosaique Neko Waifus 4,$4.99,91.35%,Feb 2021,"8,264",0,715,Dating-Sim
AIR,$17.99,91.30%,Mar 2025,"4,207",8,161,Dating-Sim
The NOexistenceN of you AND me,$1.99,91.24%,Dec 2024,"19,602",114,"1,059",Dating-Sim
Quickie: A Love Hotel Story,$19.99,91.18%,Jun 2025,"23,477",28,518,Dating-Sim
突然＊恋人,$29.99,91.18%,Apr 2024,"2,644",4,355,Dating-Sim
Romantic Escapades,$19.99,91.17%,Oct 2025,"43,900",93,"1,712",Dating-Sim
The Ditzy Demons Are in Love With Me,$24.99,91.16%,Oct 2018,"16,926",3,141,Dating-Sim
Bean Battles,$0.99,91.15%,Aug 2018,"1,581",12,286,Dating-Sim
A Sky Full of Stars 仰望夜空的星辰,$17.99,91.13%,Dec 2017,"4,953",1,73,Dating-Sim
