Name,Price,Rating,Release,Follows,Online,Peak,Genre
Doom & Destiny,$9.99,91.81%,Aug 2011,"4,448",0,402,JRPG
Yog-Sothoth’s Yard,$10.99,91.79%,Oct 2023,"31,801",48,"5,459",JRPG
Cassette Beasts,$7.99,91.76%,Apr 2023,"39,476",249,"2,764",JRPG
FINAL FANTASY,$7.79,91.75%,Jul 2021,"12,406",173,"3,079",JRPG
Magical Girl Celesphonia,$12.99,91.73%,May 2022,"19,656",44,"1,583",JRPG
Saihate Station,Free,91.71%,Mar 2025,"8,077",127,604,JRPG
Hyperdimension Neptunia Re;Birth1,$14.99,91.62%,Jan 2015,"50,338",17,"2,281",JRPG
Deathbulge: Battle of the Bands,$19.99,91.61%,Aug 2023,"2,126",0,99,JRPG
DRAGON BALL Z: KAKAROT,$19.99,91.60%,Jan 2020,"158,785",326,"25,852",JRPG
花妖物语/Flower girl - 5个新角色大礼包/5 new characters bonusDLC,$3.99,91.55%,Sep 2021,—,—,—,JRPG
沉睡的法则 Things as They Are,$5.99,91.52%,Jun 2019,"2,844",2,261,JRPG
The Test: Secrets of the Soul 2,Free,91.50%,Apr 2023,230,0,9,JRPG
The Legend of Heroes: Trails of Cold Steel,$19.99,91.37%,Aug 2017,"44,600",132,"1,628",JRPG
Utawarerumono: Mask of Truth,$23.99,91.27%,Jan 2020,"8,185",10,250,JRPG
Meg's Monster,$8.99,91.27%,Mar 2023,"5,491",2,195,JRPG
Noctuary,$29.99,91.25%,Nov 2023,"7,899",10,241,JRPG
Yakuza Kiwami,$19.99,91.24%,Feb 2019,"44,616",245,"3,474",JRPG
Touhou Artificial Dream in Arcadia,$9.99,91.23%,Sep 2023,"3,532",10,417,JRPG
Small Saga,$19.99,91.16%,Nov 2023,"9,112",2,344,JRPG
The Legend of Heroes: Trails in the Sky,$9.99,91.14%,Jul 2014,"48,330",89,"2,014",JRPG
TROUBLESHOOTER: Abandoned Children,$24.99,91.08%,Apr 2020,"41,481",120,"1,012",JRPG
DATE A LIVE: Rio Reincarnation,$39.98,91.08%,Jul 2019,"24,110",13,890,JRPG
