Name,Price,Rating,Release,Follows,Online,Peak,Genre
Easy Delivery Co.,$12.99,92.31%,Sep 2025,"19,581",118,"1,145",Arcade
DEVIL BLADE REBOOT,$15.99,92.29%,May 2024,"3,060",0,202,Arcade
Geometry Dash,$4.99,92.28%,Dec 2014,"157,108","72,165","88,346",Arcade
OnlyCans: Thirst Date,Free,92.28%,Feb 2021,"2,248",2,156,Arcade
Galaxy Burger,$7.19,92.27%,Aug 2024,"5,249",88,735,Arcade
Sonic Racing: CrossWorlds,$69.99,92.25%,Sep 2025,"37,673",680,"13,630",Arcade
UFO 50,$24.99,92.24%,Sep 2024,"17,819",156,"4,130",Arcade
SpeedRunners,$14.99,92.15%,Apr 2016,"67,833",136,"17,212",Arcade
Hatsune Miku: Project DIVA Mega Mix+,$39.39,92.15%,May 2022,"47,924",274,"2,730",Arcade
Aero GPX,$19.99,92.15%,Aug 2024,"5,556",3,160,Arcade
Zeepkist,$19.99,92.08%,Jan 2021,"2,467",32,241,Arcade
The Coin Game,$14.99,92.05%,Feb 2019,"10,452",30,332,Arcade
Zuma Deluxe,$0.99,92.04%,Aug 2006,"6,370",727,"1,018",Arcade
Progressbar95,$4.99,92.02%,Sep 2020,"3,335",13,74,Arcade
Windowkill,$4.99,91.99%,Feb 2024,"6,404",18,382,Arcade
Yellow Taxi Goes Vroom,$16.99,91.99%,Apr 2024,"4,003",7,174,Arcade
Duck Simulator 2,Free,91.96%,Nov 2021,676,2,180,Arcade
Tetris® Effect: Connected,$19.99,91.95%,Aug 2021,"17,092",141,"1,259",Arcade
Soulstone Survivors: Prologue,—,91.93%,Aug 2022,"5,474",0,"4,818",Arcade
Teenage Mutant Ninja Turtles: Shredder's Revenge,$24.99,91.92%,Jun 2022,"67,459",61,"11,933",Arcade
Learn to Fly 3,Free,91.92%,Feb 2016,"5,431",113,"1,506",Arcade
Far Fishing,$2.99,91.92%,Jun 2025,497,11,144,Arcade
10 Minutes Till Dawn,—,91.89%,May 2022,"5,530",0,"3,444",Arcade
F1® 2020,—,91.80%,Jul 2020,"40,712",230,"24,010",Arcade
Sonic Mania,$4.99,91.76%,Aug 2017,"47,214",156,"11,937",Arcade
hololive Treasure Mountain,$8.99,91.76%,Aug 2024,"4,322",8,"1,681",Arcade
Melatonin,$14.99,91.73%,Dec 2022,"27,453",23,314,Arcade
Mushihimesama,$19.99,91.72%,Nov 2015,"7,649",6,357,Arcade
Cat Goes Fishing,$6.99,91.69%,Jan 2015,"19,844",138,867,Arcade
Alien Shooter,$4.99,91.69%,Sep 2003,"6,168",20,"1,029",Arcade
Dreams of Aether,$2.99,91.69%,Apr 2025,"1,188",1,883,Arcade
GUILTY GEAR Xrd REV 2,$9.89,91.64%,Dec 2016,"32,726",117,"3,455",Arcade
Project Wingman,$12.49,91.63%,Dec 2020,"58,093",191,"2,113",Arcade
Tokyo Xtreme Racer,$49.99,91.62%,Sep 2025,"50,653",341,"15,824",Arcade
pureya,$5.99,91.62%,Mar 2021,"3,589",2,409,Arcade
Beat Hazard,$9.99,91.60%,Apr 2010,"8,260",1,"4,123",Arcade
I Wanna Maker,Free,91.59%,Nov 2023,"5,932",43,514,Arcade
Commando Collection,$4.78,91.55%,Jul 2024,"3,755",5,115,Arcade
Parking Garage Rally Circuit,$9.99,91.55%,Sep 2024,"3,471",0,117,Arcade
Akane,$4.99,91.50%,Sep 2018,"4,640",4,117,Arcade
POPGOES Arcade,$4.99,91.49%,Jul 2022,"2,587",3,258,Arcade
Annalynn,$4.99,91.49%,Jan 2021,979,0,37,Arcade
Platypus Reclayed,$14.99,91.45%,Sep 2025,"2,454",1,129,Arcade
THE KING OF FIGHTERS 2002 UNLIMITED MATCH,$2.24,91.38%,Feb 2015,"10,647",111,589,Arcade
Shredders,$29.99,91.38%,Mar 2022,"8,366",207,697,Arcade
Cyber Hook,$10.48,91.38%,Sep 2020,"3,634",7,288,Arcade
RetroMaze,$0.99,91.36%,May 2018,861,1,95,Arcade
Lunistice,$4.99,91.34%,Nov 2022,"3,244",5,104,Arcade
FUMES,$14.99,91.33%,Jul 2025,"15,252",17,512,Arcade
Zup!,$1.99,91.33%,Oct 2016,"3,974",1,"1,029",Arcade
BlazBlue Centralfiction,$39.99,91.32%,Apr 2017,"38,228",227,"4,773",Arcade
Rift of the NecroDancer,$19.99,91.32%,Feb 2025,"19,228",144,"2,509",Arcade
Space Rangers HD: A War Apart,$14.99,91.31%,Oct 2013,"16,770",288,778,Arcade
OLDTV,Free,91.29%,Jul 2017,"5,939",2,353,Arcade
Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,$14.99,91.28%,Aug 2019,"5,658",2,387,Arcade
Last Command,$14.99,91.26%,Oct 2022,"7,492",9,422,Arcade
ZeroRanger,$11.99,91.25%,Sep 2018,"3,786",13,91,Arcade
"Cook, Serve, Delicious!",$3.24,91.19%,Oct 2013,"6,366",10,"1,560",Arcade
Fruit Mountain,$8.99,91.18%,Mar 2024,876,11,311,Arcade
Project Arrhythmia,$11.99,91.14%,Jun 2019,"4,449",15,110,Arcade
Sonic & All-Stars Racing Transformed Collection,$19.99,91.13%,Jan 2013,"19,263",55,"5,861",Arcade
Super House of Dead Ninjas,$19.99,91.13%,Feb 2013,"4,570",3,282,Arcade
Vecter,Free,91.12%,Oct 2020,"3,278",4,270,Arcade
Freedom Planet 2,$24.99,91.10%,Sep 2022,"9,798",4,964,Arcade
Astro Prospector,$3.99,91.10%,Jul 2025,"2,856",378,"1,237",Arcade
The Chef's Shift,$12.99,91.05%,Mar 2025,"2,592",12,280,Arcade
Lethal League,$13.99,91.04%,Aug 2014,"24,200",2,"1,929",Arcade
HUNTDOWN,$19.99,91.04%,May 2021,"15,867",18,337,Arcade
Rocket Rats,$5.99,91.04%,Dec 2024,"1,604",21,555,Arcade
SNKRX,$2.99,91.03%,May 2021,"3,589",6,"1,766",Arcade
APE OUT,$14.99,91.02%,Feb 2019,"11,883",4,128,Arcade
Zuma's Revenge!,$0.99,91.02%,Sep 2009,"3,804",291,399,Arcade
Black Gunner Wukong,$4.99,91.02%,Feb 2024,932,0,189,Arcade
TowerFall Ascension,$2.99,91.01%,Mar 2014,"17,383",22,355,Arcade
KUNKUN Defender,$2.99,91.01%,May 2024,"1,143",1,477,Arcade
Iron Meat,$19.99,90.97%,Sep 2024,"8,859",2,125,Arcade
東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,$8.99,90.97%,Aug 2018,"6,144",6,87,Arcade
Ding Dong XL,$0.99,90.97%,Jun 2018,757,2,696,Arcade
Egg Squeeze,$3.99,90.96%,Oct 2024,380,0,29,Arcade
"Guns, Gore and Cannoli 2",$6.49,90.92%,Mar 2018,"26,541",19,568,Arcade
Keep on Mining!,$4.99,90.91%,Jul 2025,"4,596",317,"3,283",Arcade
Bloodstained: Curse of the Moon,$9.99,90.85%,May 2018,"15,074",5,953,Arcade
Kill The Crows,$2.49,90.71%,Aug 2023,"7,374",35,259,Arcade
Trackmania United Forever,$14.99,90.66%,Apr 2008,"5,974",107,"1,345",Arcade
Idol Showdown,Free,90.65%,May 2023,"11,314",21,"10,901",Arcade
Maiden and Spell,$12.99,90.65%,Feb 2020,"3,645",6,130,Arcade
OMFG: One Million Fatal Guns,Free,90.65%,Jan 2021,"1,887",2,231,Arcade
Timberman,$0.99,90.62%,Sep 2015,"4,334",18,"4,296",Arcade
Super Mombo Quest,$19.99,90.58%,Nov 2021,"1,409",1,29,Arcade
EZ2ON REBOOT : R - TIME TRAVELERDLC,$10.19,90.55%,Sep 2021,—,—,—,Arcade
Reassembly,$14.99,90.54%,Feb 2015,"37,324",22,"1,010",Arcade
Stardust Skate,$2.99,90.54%,Mar 2025,"1,038",0,231,Arcade
Pistol Whip,$19.49,90.53%,Nov 2019,"12,013",13,213,Arcade
UNDER NIGHT IN-BIRTH Exe:Late[cl-r],$4.99,90.52%,Aug 2018,"15,185",11,"1,377",Arcade
Peggle Extreme,Free,90.52%,Sep 2007,"1,018",11,165,Arcade
Streets of Rage 4,$8.74,90.50%,Apr 2020,"46,100",177,"6,438",Arcade
Race The Sun,$9.99,90.40%,Dec 2013,"5,757",3,"6,455",Arcade
Ninja Kiwi Archive,Free,90.40%,Jul 2020,"4,486",145,758,Arcade
SNØ: Ultimate Freeriding,$11.99,90.38%,Feb 2025,"2,241",7,133,Arcade
Rogue Legacy,$14.99,90.37%,Jun 2013,"26,019",43,"8,079",Arcade
Ragnarock,$24.99,90.37%,Jul 2021,"9,036",14,236,Arcade
You Can Kana - Learn Japanese Hiragana & Katakana,$9.99,90.35%,Aug 2021,"1,158",0,22,Arcade
Ducks Can Drive,Free,90.33%,Jul 2023,493,3,23,Arcade
Crab Game,Free,90.31%,Oct 2021,"43,258","1,060","75,967",Arcade
Ikaruga,$9.99,90.31%,Feb 2014,"14,900",2,335,Arcade
Space Pirate Trainer,$7.49,90.31%,Oct 2017,"12,082",5,229,Arcade
Judero,$17.99,90.31%,Sep 2024,"3,145",0,28,Arcade
Until You Fall,$24.99,90.30%,Oct 2020,"12,463",3,146,Arcade
Evil Egg,Free,90.30%,Oct 2025,386,6,107,Arcade
Vampire Survivors: Emerald DioramaDLC,Free,90.29%,Apr 2025,—,—,—,Arcade
THE IDOLM@STER STARLIT SEASON,—,90.25%,Oct 2021,"26,994",9,"6,138",Arcade
Larcin Lazer,$9.99,90.25%,Jan 2023,579,0,38,Arcade
XENOTILT: HOSTILE PINBALL ACTION,$19.99,90.24%,Nov 2024,"3,406",5,96,Arcade
BallisticNG,$14.99,90.23%,Dec 2018,"8,885",11,113,Arcade
HYPER DEMON,$14.99,90.23%,Sep 2022,"7,929",13,365,Arcade
TYRONE vs COPS,$0.99,90.23%,Feb 2022,"1,548",4,70,Arcade
Swarmlake,$2.99,90.22%,Mar 2018,"2,562",0,437,Arcade
Shotgun Cop Man,$9.99,90.21%,May 2025,"2,574",1,64,Arcade
Seraph's Last Stand,$0.99,90.19%,Mar 2022,"3,036",15,771,Arcade
Absolum,$24.99,90.18%,Oct 2025,"35,298","1,052","7,642",Arcade
Waves,Free,90.17%,Nov 2011,"2,691",0,298,Arcade
Sifu,$39.98,90.16%,Mar 2023,"69,014",319,"3,189",Arcade
Katamari Damacy REROLL,$29.99,90.16%,Dec 2018,"13,630",31,433,Arcade
RATSHAKER™,$2.99,90.15%,Nov 2024,"2,564",4,202,Arcade
Baldi's Basics Classic Remastered,Free,90.13%,Oct 2022,"7,419",175,847,Arcade
ROBOBEAT,$9.99,90.12%,May 2024,"11,048",13,481,Arcade
DoDonPachi Resurrection,$29.99,90.12%,Oct 2016,"6,832",3,328,Arcade
Duelists of Eden,$4.99,90.12%,Mar 2024,"5,462",4,663,Arcade
Zombieville USA 3D,$9.99,90.11%,Mar 2025,"6,149",19,"1,458",Arcade
Melty Blood Actress Again Current Code,$24.99,90.08%,Apr 2016,"19,516",11,"2,068",Arcade
Funguys Swarm,$6.99,90.05%,Aug 2025,"2,499",51,317,Arcade
Poosh XL,$2.99,90.05%,May 2023,235,0,49,Arcade
Gooba Ball,Free,90.03%,May 2024,560,7,457,Arcade
Out There Somewhere,$4.42,90.01%,Mar 2016,"7,680",0,"2,615",Arcade
Shipped,$9.99,90.01%,Mar 2019,"2,858",0,66,Arcade
Antonball Deluxe,$14.99,90.01%,Mar 2021,"1,113",0,62,Arcade
MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,$24.99,89.98%,Sep 2024,"23,064",78,"6,072",Arcade
VIVIDLOPE,$9.99,89.97%,May 2023,"1,532",1,42,Arcade
Jamestown,$9.99,89.91%,Jun 2011,"2,871",0,"6,432",Arcade
Forza Horizon 4,—,89.89%,Mar 2021,"405,980","2,971","75,689",Arcade
N++ (NPLUSPLUS),$14.99,89.88%,Aug 2016,"11,127",40,522,Arcade
Hotdog Runner,$1.99,89.88%,Mar 2024,466,0,49,Arcade
Spelunky,$14.99,89.87%,Aug 2013,"28,033",71,"2,919",Arcade
Horizon Chase Turbo,$19.99,89.80%,May 2018,"8,720",20,226,Arcade
Just Hit The Button,Free,89.79%,Aug 2023,142,1,34,Arcade
The Elephant Collection,$14.99,89.76%,Nov 2023,"2,030",7,262,Arcade
Owinka Shooter,Free,89.76%,Jul 2022,338,0,44,Arcade
To The Core,$7.99,89.74%,Aug 2023,"6,645",72,"3,467",Arcade
Streets of Fury EX,$9.99,89.73%,Jun 2015,"3,307",1,34,Arcade
Assault Android Cactus+,$19.99,89.70%,Sep 2015,"9,567",1,238,Arcade
You Have to Win the Game,Free,89.70%,May 2012,"8,065",0,660,Arcade
Anger Foot,$19.99,89.69%,Jul 2024,"29,521",12,"1,080",Arcade
Beatblock,$14.99,89.67%,Sep 2025,"3,127",40,200,Arcade
Aliens After Ava,Free,89.64%,Jan 2023,355,0,14,Arcade
Bleed 2,$9.99,89.61%,Feb 2017,"2,606",0,160,Arcade
ONE PIECE: PIRATE WARRIORS 4,$39.99,89.60%,Sep 2023,"77,990",308,"9,219",Arcade
Ynglet,$5.19,89.60%,Jun 2021,"1,210",0,32,Arcade
KILL KNIGHT,$14.99,89.58%,Oct 2024,"14,651",4,563,Arcade
Patch Quest,$14.99,89.55%,Mar 2023,"10,272",3,"2,356",Arcade
THE BUTTON by Elendow,Free,89.54%,May 2023,532,8,699,Arcade
The Chef's Shift: First Course,Free,89.54%,Feb 2025,488,11,526,Arcade
Lemonade Apocalypse,Free,89.51%,Apr 2024,270,7,92,Arcade
Distance,$24.99,89.50%,Sep 2018,"46,894",24,463,Arcade
GigaBash,$8.74,89.50%,Aug 2022,"12,580",71,305,Arcade
Utopia Must Fall,$8.99,89.45%,Sep 2024,"1,987",18,159,Arcade
Snakeybus,$9.99,89.44%,May 2019,"6,719",5,519,Arcade
GAROU: MARK OF THE WOLVES,$9.99,89.44%,Dec 2016,"3,293",1,95,Arcade
art of rally,$12.49,89.43%,Sep 2020,"18,800",93,477,Arcade
Copy Kitty,$14.99,89.43%,Apr 2018,"1,882",3,149,Arcade
Monster Girl's Labyrinth,$2.99,89.43%,Nov 2021,"1,236",0,7,Arcade
Goat Simulator,$9.99,89.42%,Apr 2014,"104,086",105,"10,108",Arcade
HYPERBEAT,$14.99,89.42%,Oct 2025,"1,196",3,76,Arcade
Mortal Kombat Komplete Edition,—,89.40%,—,"29,718",63,"5,235",Arcade
Deathsmiles,$19.99,89.39%,Mar 2016,"5,799",1,191,Arcade
Lazerbait,Free,89.38%,Oct 2016,520,0,15,Arcade
BubbleBeast DigiDungeon,Free,89.37%,Dec 2024,199,0,7,Arcade
Soulstone Survivors,$14.99,89.34%,Jun 2025,"54,935",961,"18,854",Arcade
Crimzon Clover World EXplosion,$19.99,89.32%,Dec 2021,"1,638",2,42,Arcade
Deep Space Waifu: FLAT JUSTICE,—,89.27%,Nov 2017,"4,324",0,241,Arcade
TETRACHROMA,$4.99,89.27%,Oct 2024,282,1,32,Arcade
Laika: Aged Through Blood,$19.99,89.25%,Oct 2023,"23,291",20,641,Arcade
Open Hexagon,$4.99,89.25%,Nov 2021,554,1,34,Arcade
Click and Conquer,$3.99,89.23%,Jun 2025,662,33,326,Arcade
A Gentlemen's Dispute,$7.99,89.22%,Sep 2025,"3,506",63,"1,015",Arcade
Ex-Zodiac,$5.27,89.21%,Jul 2022,"6,524",0,90,Arcade
Mixolumia,$9.99,89.15%,Aug 2020,421,1,18,Arcade
Ball-it Hell,$2.99,89.15%,Feb 2024,421,0,34,Arcade
Haste,$19.99,89.12%,Apr 2025,"38,625",208,"5,312",Arcade
Petal Crash,$9.99,89.12%,Oct 2020,695,0,41,Arcade
Pesticide Not Required: Prologue,—,89.11%,Jan 2024,481,0,367,Arcade
Shotgun Cop Man DemoDemo,Free,89.10%,Feb 2025,—,0,39,Arcade
"Peace, Death! 2",$4.99,89.09%,Oct 2021,"1,261",1,327,Arcade
DRAGON BALL FighterZ,$14.39,89.05%,Jan 2018,"208,545",752,"44,303",Arcade
MEMOLOGY: GOYDA,$1.99,89.05%,May 2024,"2,920",1,26,Arcade
Muse Dash,$2.99,89.02%,Jun 2019,"145,814",302,"11,478",Arcade
HAYAI,$1.99,89.01%,May 2022,631,0,34,Arcade
DEMON'S TILT,$19.99,88.99%,Dec 2019,"4,156",2,32,Arcade
FUMES DemoDemo,Free,88.99%,Nov 2023,—,4,255,Arcade
Kero Blaster,$9.99,88.97%,Nov 2015,"5,971",0,211,Arcade
Dino Run DX,$2.99,88.97%,Sep 2015,"3,214",5,"1,070",Arcade
SuperTux,Free,88.97%,May 2004,"1,178",11,82,Arcade
ZOE Begone!,$9.99,88.96%,Sep 2025,276,0,162,Arcade
DX-Ball 2: 20th Anniversary Edition,$6.99,88.91%,Nov 2018,"1,203",13,80,Arcade
Robot Roller-Derby Disco Dodgeball,$9.99,88.88%,Feb 2015,"23,357",3,373,Arcade
東方催狐譚 ～ Servants of Harvest Wish,Free,88.83%,May 2020,692,3,50,Arcade
Sip Fisher,$4.99,88.82%,Aug 2025,"1,022",6,118,Arcade
FOOTSIES Rollback Edition,$3.99,88.81%,Sep 2020,"1,464",2,99,Arcade
Cozy Space Survivors,$2.99,88.80%,May 2024,509,0,31,Arcade
東方眠世界 ~ Wonderful Waking World,Free,88.80%,Jun 2022,218,0,29,Arcade
Crimsonland,$13.99,88.78%,Jun 2014,"6,112",22,479,Arcade
Earthion,$19.99,88.78%,Jul 2025,"4,250",0,239,Arcade
Tape to Tape,$19.99,88.76%,May 2023,"17,589",43,"1,669",Arcade
Sky Force Reloaded,$9.99,88.72%,Nov 2017,"7,668",17,330,Arcade
ULTIMATE MARVEL VS. CAPCOM 3,$7.49,88.71%,Mar 2017,"36,566",103,"2,487",Arcade
Lords Of The Lockerroom,Free,88.71%,May 2019,274,0,10,Arcade
Angry Video Game Nerd I & II Deluxe,$9.99,88.70%,Oct 2020,"2,249",2,101,Arcade
Nautical Survival,$6.95,88.68%,Apr 2025,"1,195",1,48,Arcade
Knightmare Tower,$3.99,88.68%,Jun 2014,616,0,64,Arcade
CHAIRS,$4.99,88.68%,May 2024,254,0,8,Arcade
Minecraft Dungeons,$14.79,88.67%,Sep 2021,"60,079","1,316","4,022",Arcade
Mimpi Dreams,Free,88.66%,Mar 2016,"2,806",17,62,Arcade
Rogue Legacy 2,$24.99,88.65%,Apr 2022,"57,428",156,"22,811",Arcade
Shotgun King: The Final Checkmate,$9.99,88.65%,May 2022,"17,017",57,769,Arcade
Spirits Abyss,$8.99,88.65%,Aug 2020,"2,340",1,46,Arcade
Racket: Nx,$19.99,88.65%,Jul 2018,"2,297",0,31,Arcade
DUSK '82: ULTIMATE EDITION,$6.99,88.65%,Oct 2021,"1,768",1,60,Arcade
Wings of Seduction: Bust 'em out!,$8.44,88.62%,Jul 2024,"6,982",22,"1,336",Arcade
FlatOut,$1.49,88.62%,Jul 2005,"4,244",148,637,Arcade
Children of the Sun,$14.99,88.60%,Apr 2024,"12,508",3,224,Arcade
Force Reboot,$2.99,88.60%,Aug 2022,"1,815",0,25,Arcade
The Black Heart,$9.99,88.58%,Oct 2021,"1,526",0,41,Arcade
Dimension Tripper Neptune: TOP NEP,$4.99,88.56%,Jan 2022,"2,339",0,58,Arcade
GGST Additional Character 12 - A.B.ADLC,$6.99,88.55%,Mar 2024,—,—,—,Arcade
Pesticide Not Required,$6.50,88.53%,Mar 2024,"3,172",7,569,Arcade
Rush Rally 3,$14.99,88.53%,Nov 2022,"2,480",14,59,Arcade
Hole Dweller,$7.99,88.52%,Jan 2024,"2,640",9,114,Arcade
Russian Subway Dogs,$14.99,88.52%,Aug 2018,"1,253",2,22,Arcade
Shatter,$1.99,88.49%,Mar 2010,"1,868",0,"2,761",Arcade
Super Raft Boat VR,Free,88.49%,Aug 2021,380,0,16,Arcade
Nubby's Number Factory DemoDemo,Free,88.47%,Nov 2024,—,7,124,Arcade
Blind Drive,$9.99,88.46%,Mar 2021,"1,238",0,23,Arcade
Alien Hominid HD,$8.99,88.43%,Nov 2023,"3,499",3,170,Arcade
Bleed,$4.99,88.40%,Jul 2013,"3,200",0,249,Arcade
Spooky Bonus,$9.99,88.40%,Oct 2015,491,3,22,Arcade
KUNKUN Defender 2,$4.99,88.40%,May 2025,260,0,298,Arcade
Yet Another Zombie Survivors,$14.99,88.39%,Jul 2023,"36,911",221,"10,173",Arcade
Crimzon Clover WORLD IGNITION,—,88.38%,Jun 2014,"2,776",1,136,Arcade
LUMINES REMASTERED,$14.99,88.38%,Jun 2018,"1,941",9,74,Arcade
An Arcade Full of Cats: TimeWarp TroubleDLC,$2.99,88.37%,Nov 2023,—,—,—,Arcade
Thumper,$19.99,88.35%,Oct 2016,"17,529",5,246,Arcade
Toasterball,$9.99,88.34%,May 2023,"1,162",2,23,Arcade
Tower Unite - Supporter PackDLC,$14.99,88.33%,Jan 2024,—,—,—,Arcade
"Guns, Gore & Cannoli",$3.99,88.29%,Apr 2015,"16,534",16,263,Arcade
Savant - Ascent,$1.99,88.27%,Dec 2013,"3,778",1,599,Arcade
ESCHATOS,$14.99,88.27%,Sep 2015,"1,132",0,37,Arcade
Touhou Seirensen ~ Undefined Fantastic Object.,$14.99,88.21%,Aug 2009,"1,593",4,25,Arcade
Rogue: Genesia,$10.49,88.20%,Mar 2025,"18,103",107,"8,516",Arcade
New Star GP,$9.99,88.20%,Mar 2024,"3,743",19,201,Arcade
"Bang Average Football – Play, Manage, Create",$11.99,88.20%,May 2024,941,12,55,Arcade
