Name,Price,Rating,Release,Follows,Online,Peak,Genre
Age of Empires® III (2007),—,89.09%,Sep 2009,"104,753",420,"9,490",City-Builder
Tracks - The Train Set Game,$19.99,89.09%,Nov 2019,"8,552",14,104,City-Builder
The Tenants - Free Trial,—,89.03%,Mar 2021,"6,549",0,"1,729",City-Builder
The Final Earth 2,$5.99,89.01%,Jul 2022,"1,646",11,51,City-Builder
Workers & Resources: Soviet Republic,$19.99,88.97%,Jun 2024,"137,299","2,998","8,264",City-Builder
Star Birds,$19.99,88.95%,Sep 2025,"35,792",50,"1,333",City-Builder
Nordhold: Origins,—,88.85%,Aug 2024,"2,068",1,694,City-Builder
Midori no Kaori,$9.99,88.82%,Oct 2025,"5,401",2,135,City-Builder
Banished,$19.99,88.76%,Feb 2014,"141,947",647,"24,636",City-Builder
Galaxy Life,Free,88.76%,Aug 2022,"9,745",341,"4,741",City-Builder
The Wandering Village,$29.99,88.69%,Jul 2025,"108,854",149,"5,786",City-Builder
RollerCoaster Tycoon® 3: Platinum,—,88.69%,Oct 2006,"20,225",45,"2,800",City-Builder
Kingdom: Classic,Free,88.63%,Oct 2015,"50,778",66,"64,944",City-Builder
GolfTopia,$19.99,88.61%,Mar 2021,"2,598",2,77,City-Builder
Transport Fever 2,$9.99,88.56%,Dec 2019,"113,525","4,181","24,308",City-Builder
Kingdom Two Crowns,$4.99,88.54%,Dec 2018,"91,865","1,154","26,623",City-Builder
Jurassic World Evolution 2,$17.99,88.51%,Nov 2021,"136,256","1,417","20,993",City-Builder
Dream Town Island,$10.99,88.46%,Nov 2023,"2,117",10,278,City-Builder
Stronghold Crusader: Definitive Edition,$19.99,88.31%,Jul 2025,"35,401","3,165","16,109",City-Builder
Heart of the Machine,$19.49,88.29%,Jan 2025,"20,844",49,961,City-Builder
MakeRoom,$9.99,88.25%,Aug 2025,"9,329",65,464,City-Builder
Caesar™ 3,$3.89,88.21%,May 1999,"6,371",135,434,City-Builder
Kingdoms Reborn,$19.99,88.18%,Nov 2020,"97,994",238,"3,990",City-Builder
Let's School Homeroom,—,88.18%,Jun 2023,"3,523",0,"1,075",City-Builder
Bloons Monkey City,Free,88.17%,Dec 2014,"2,823",233,"1,198",City-Builder
Tile Cities,$1.49,87.94%,May 2022,"1,706",4,167,City-Builder
Yog-Sothoth's Yard - Official Picture PackageDLC,Free,87.88%,Dec 2023,—,—,—,City-Builder
Cities: Skylines - Match DayDLC,Free,87.85%,Jun 2016,—,—,—,City-Builder
Infection Free Zone – Prologue,—,87.84%,Oct 2023,"11,118",0,"5,122",City-Builder
Clanfolk,$14.99,87.83%,Jul 2022,"50,662",340,"2,784",City-Builder
Hotel Architect,$19.99,87.78%,May 2025,"7,147",111,"1,047",City-Builder
Going Medieval,$24.99,87.73%,Jun 2021,"170,292",844,"14,676",City-Builder
Planet S,Free,87.72%,Oct 2023,"4,503",17,604,City-Builder
Prison Architect,$29.99,87.71%,Oct 2015,"209,339",921,"16,211",City-Builder
The Last Spell: Prologue,—,87.67%,Oct 2020,"1,873",0,127,City-Builder
Mall Simulator,$13.99,87.64%,Nov 2025,"4,677","1,609","3,014",City-Builder
Pharaoh + Cleopatra,$4.99,87.62%,Oct 1999,"11,072",117,662,City-Builder
There Are No Orcs,$8.99,87.60%,Nov 2025,"3,447",363,"1,833",City-Builder
TM - Prologue,Free,87.57%,Jun 2021,"6,710",1,281,City-Builder
Ninja Village,$3.23,87.55%,May 2022,"2,181",13,254,City-Builder
Factory Town,$7.99,87.51%,Nov 2021,"54,937",55,"2,648",City-Builder
MicroTown,$9.99,87.50%,Aug 2019,"5,338",0,50,City-Builder
RimWorld - OdysseyDLC,$24.99,87.47%,Jul 2025,—,—,—,City-Builder
Command & Conquer 3 Tiberium Wars™,—,87.42%,Mar 2007,"18,110",423,"1,305",City-Builder
Predynastic Egypt,$2.49,87.39%,Oct 2016,"12,038",11,295,City-Builder
Tiny Town VR,$14.99,87.38%,Aug 2017,"2,954",12,58,City-Builder
Whiskerwood,$29.99,87.35%,Nov 2025,"25,488","1,286","3,320",City-Builder
