Name,Price,Rating,Release,Follows,Online,Peak,Genre
Jazzpunk: Director's Cut,$14.99,90.62%,Feb 2014,"12,496",7,546,Walking-Simulator
Fever Meme,$4.20,90.58%,Jul 2025,"1,480",374,465,Walking-Simulator
The Exit 8,$3.99,90.55%,Nov 2023,"17,237",36,"2,819",Walking-Simulator
Marie's Room,Free,90.50%,Apr 2018,"14,038",2,285,Walking-Simulator
Krypta FM,Free,90.47%,Jul 2024,"1,310",1,173,Walking-Simulator
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",Free,90.45%,Dec 2015,"11,410",3,815,Walking-Simulator
Spooky's Jump Scare Mansion,Free,90.38%,Jul 2015,"21,759",8,625,Walking-Simulator
The Complex: Found Footage,Free,90.37%,Aug 2022,"6,067",10,235,Walking-Simulator
The Awesome Adventures of Captain Spirit,Free,90.35%,Jun 2018,"36,909",27,"8,739",Walking-Simulator
Viscera Cleanup Detail,$12.99,90.27%,Oct 2015,"66,071",166,"1,773",Walking-Simulator
Wretched Depths,Free,90.25%,Apr 2023,650,0,20,Walking-Simulator
As Long As You're Here,$9.99,90.25%,Oct 2025,819,4,44,Walking-Simulator
The Plan,Free,90.24%,Feb 2013,"7,400",1,298,Walking-Simulator
Killer Frequency,$24.99,90.21%,Jun 2023,"15,844",35,341,Walking-Simulator
THE CORRIDOR,$1.99,90.21%,Dec 2020,"1,817",5,377,Walking-Simulator
Bite Night,$3.49,90.20%,Jun 2024,458,0,9,Walking-Simulator
Scarlet Hollow — Episode 1,—,90.16%,Sep 2020,"2,022",0,35,Walking-Simulator
RATSHAKER™,$2.99,90.15%,Nov 2024,"2,564",4,202,Walking-Simulator
Tiny Terry's Turbo Trip,$17.99,90.08%,May 2024,"4,272",17,162,Walking-Simulator
Pleh!,Free,89.94%,Mar 2023,406,0,124,Walking-Simulator
Back to Hearth,$3.99,89.79%,Sep 2025,694,1,14,Walking-Simulator
Clam Man 2: Open Mic,Free,89.77%,Jun 2020,907,0,32,Walking-Simulator
Botany Manor,$24.99,89.76%,Apr 2024,"5,698",5,258,Walking-Simulator
Ten Bells,$4.99,89.72%,Aug 2024,"1,167",3,59,Walking-Simulator
The Gardens Between,$19.99,89.71%,Sep 2018,"11,863",0,138,Walking-Simulator
Explore Fushimi Inari,—,89.67%,Oct 2019,"4,157",0,80,Walking-Simulator
Mutazione,$7.99,89.67%,Sep 2019,"6,880",7,49,Walking-Simulator
Sumire,$5.99,89.64%,May 2021,"2,667",0,409,Walking-Simulator
Short Trip,$1.99,89.64%,Dec 2024,731,0,16,Walking-Simulator
Dollmare,$4.99,89.63%,Oct 2024,"2,455",97,146,Walking-Simulator
Tree Simulator 2023,$7.99,89.57%,Apr 2022,684,5,160,Walking-Simulator
The Bridge Curse 2: The Extrication,$24.99,89.54%,May 2024,"10,111",11,"2,862",Walking-Simulator
Hypnagogia 無限の夢 Boundless Dreams,$9.99,89.54%,Oct 2021,"1,683",2,16,Walking-Simulator
Fears to Fathom - Ironbark Lookout,$9.99,89.53%,Oct 2023,"16,148",36,731,Walking-Simulator
Interior Worlds,$9.99,89.53%,Apr 2023,"1,560",5,46,Walking-Simulator
Crimson Snow (2023),$6.99,89.51%,Mar 2023,"3,501",2,103,Walking-Simulator
When the Darkness comes,Free,89.50%,Mar 2019,"6,154",3,684,Walking-Simulator
Charlie in the Moistverse of Madness,Free,89.47%,Mar 2022,384,0,63,Walking-Simulator
The Heroes Around Me,$6.99,89.43%,Jun 2024,"3,898",0,118,Walking-Simulator
despelote,$14.99,89.37%,May 2025,"3,192",3,30,Walking-Simulator
False Dream,$1.99,89.31%,Jan 2024,630,0,342,Walking-Simulator
The Boba Teashop,$4.99,89.27%,Apr 2025,"1,754",7,90,Walking-Simulator
THE LONGING,$9.99,89.26%,Mar 2020,"24,002",88,"1,063",Walking-Simulator
The Heilwald Loophole,$9.99,89.25%,Feb 2022,"1,273",3,33,Walking-Simulator
HOW WE KNOW WE'RE ALIVE,Free,89.23%,May 2023,421,2,21,Walking-Simulator
Firewatch,$19.99,89.22%,Feb 2016,"200,360",96,"17,568",Walking-Simulator
The Long Dark,$9.99,89.21%,Aug 2017,"495,753","3,448","14,707",Walking-Simulator
Iron Lung,$7.99,89.19%,Mar 2022,"11,794",2,173,Walking-Simulator
Mondealy: Day One,Free,89.18%,Sep 2021,"2,278",0,41,Walking-Simulator
SWOLLEN TO BURSTING UNTIL I AM DISAPPEARING ON PURPOSE,Free,89.14%,Aug 2023,330,0,19,Walking-Simulator
Oxenfree,$9.99,89.13%,Jan 2016,"45,424",4,733,Walking-Simulator
ghostpia Season One,$19.99,89.12%,Aug 2023,"3,406",0,32,Walking-Simulator
Mr. Saitou,$11.99,89.09%,Mar 2023,"3,821",0,61,Walking-Simulator
Elong Plug,Free,89.09%,Feb 2023,286,0,34,Walking-Simulator
Frog Detective 1: The Haunted Island,$4.99,88.99%,Nov 2018,"2,807",0,42,Walking-Simulator
Rainy Season,$3.99,88.97%,May 2020,"2,974",0,57,Walking-Simulator
Penguin Helper,$0.59,88.94%,Sep 2024,"1,869",3,29,Walking-Simulator
GlitchSPANKR,$18.38,88.93%,Oct 2025,"1,153",1,65,Walking-Simulator
Little Man Has a Day,Free,88.90%,Aug 2023,233,1,16,Walking-Simulator
Sewer Rave,Free,88.86%,Dec 2021,346,0,10,Walking-Simulator
Pupperazzi: The Dog Photography Game,$19.99,88.85%,Jan 2022,"3,495",0,150,Walking-Simulator
The Talos Principle 2 - Road to ElysiumDLC,$19.99,88.84%,Jun 2024,—,—,—,Walking-Simulator
Riven,$34.99,88.81%,Jun 2024,"21,044",28,"1,712",Walking-Simulator
Hellblade: Senua's Sacrifice,$10.49,88.66%,Aug 2017,"190,449",107,"5,653",Walking-Simulator
Broken Reality,$14.99,88.60%,Nov 2018,"4,400",2,59,Walking-Simulator
Late Homework | 遅れた宿題,$5.99,88.60%,Oct 2024,"1,353",2,43,Walking-Simulator
PLAYNE : The Meditation Game,$14.99,88.58%,May 2020,"8,827",2,38,Walking-Simulator
KARMA: The Dark World,$20.23,88.57%,Mar 2025,"18,139",10,"1,558",Walking-Simulator
Mundaun,$5.99,88.55%,Mar 2021,"6,563",5,82,Walking-Simulator
Paradise Marsh,$14.99,88.54%,Oct 2022,"2,146",0,43,Walking-Simulator
Escape From Lavender Island,$4.99,88.53%,Sep 2023,"1,000",0,170,Walking-Simulator
Valley,$14.99,88.51%,Aug 2016,"36,219",1,483,Walking-Simulator
Frame of Mind,Free,88.50%,Jan 2021,865,0,38,Walking-Simulator
Title_Pending,$9.99,88.49%,Sep 2022,"1,009",1,36,Walking-Simulator
Kota`s New Journey,Free,88.47%,Nov 2024,"4,567",9,527,Walking-Simulator
OPUS: Prism Peak DemoDemo,Free,88.47%,Oct 2025,—,2,220,Walking-Simulator
Mayonnaise Simulator,Free,88.46%,May 2022,97,0,12,Walking-Simulator
Doll Impostor,$7.99,88.38%,Mar 2024,"1,109",5,155,Walking-Simulator
Cloud Climber,Free,88.34%,Jan 2021,"4,301",0,546,Walking-Simulator
The End of the Sun,$24.99,88.32%,Jan 2025,"6,089",1,33,Walking-Simulator
GIRLS MADE PUDDING,$9.99,88.31%,Apr 2025,"3,114",0,135,Walking-Simulator
In The Rural Village of Nagoro,Free,88.26%,Nov 2022,321,0,12,Walking-Simulator
Moonbase Alpha,Free,88.19%,Jul 2010,"21,253",2,"1,443",Walking-Simulator
Dream on,Free,88.16%,May 2025,87,0,13,Walking-Simulator
Suspicious Downpour,Free,88.13%,Jun 2021,654,0,11,Walking-Simulator
Through The Fragmentation,$0.74,88.11%,May 2021,375,0,6,Walking-Simulator
INSERT GAME HERE,Free,88.09%,Jul 2025,285,2,52,Walking-Simulator
The Longest Walk,Free,88.04%,Sep 2022,363,0,11,Walking-Simulator
The Painscreek Killings,$19.99,88.02%,Sep 2017,"13,577",15,584,Walking-Simulator
The one who pulls out the sword will be crowned king,Free,88.00%,Mar 2022,"2,767",1,"2,247",Walking-Simulator
Bright Lights of Svetlov,$4.99,87.93%,Sep 2021,"1,434",0,49,Walking-Simulator
theHunter: Call of the Wild™,$19.99,87.90%,Feb 2017,"558,443","5,666","25,235",Walking-Simulator
Fears to Fathom - Carson House,$4.99,87.88%,Jan 2023,"5,760",14,383,Walking-Simulator
Chroma Zero,$11.11,87.88%,Dec 2024,478,0,24,Walking-Simulator
SLUDGE LIFE,$14.99,87.87%,Jun 2021,"4,956",5,"2,712",Walking-Simulator
The Cabin Factory,$2.99,87.86%,Dec 2024,"6,564",13,538,Walking-Simulator
King Boo,$2.99,87.79%,Oct 2021,144,8,26,Walking-Simulator
Satellite Odyssey: Prologue,$1.39,87.78%,Aug 2024,"1,766",2,70,Walking-Simulator
One-Eyed Likho,$19.99,87.76%,Jul 2025,"3,893",9,261,Walking-Simulator
Exo One: Prologue,Free,87.76%,Aug 2020,"1,908",1,90,Walking-Simulator
Disillusion ST,$10.99,87.76%,Oct 2024,"2,198",6,26,Walking-Simulator
Score the Fear,$3.99,87.73%,Jul 2025,242,0,35,Walking-Simulator
Mondealy,$11.99,87.71%,Aug 2023,"3,739",0,779,Walking-Simulator
For Sale,$5.99,87.71%,Jan 2025,509,0,18,Walking-Simulator
The Magic Circle,$19.99,87.70%,Jul 2015,"15,243",1,270,Walking-Simulator
港詭實錄ParanormalHK,$12.99,87.67%,Jan 2020,"59,756",22,"1,221",Walking-Simulator
Quern - Undying Thoughts,$24.99,87.62%,Nov 2016,"22,623",28,441,Walking-Simulator
The Death | Thần Trùng,$5.99,87.56%,Sep 2022,"7,137",0,"2,894",Walking-Simulator
The Artful Escape,$6.99,87.51%,Sep 2021,"6,768",3,72,Walking-Simulator
Fears to Fathom - Home Alone,Free,87.48%,Jul 2021,"15,898",33,361,Walking-Simulator
Prognostic,$6.99,87.45%,May 2022,"1,792",2,43,Walking-Simulator
Occupy White Walls,Free,87.44%,Jul 2022,"6,599",1,163,Walking-Simulator
Bloodwash,$7.99,87.43%,Sep 2021,"2,786",0,103,Walking-Simulator
A Simple job,Free,87.43%,Jun 2025,210,1,20,Walking-Simulator
Condo,Free,87.42%,Jun 2025,243,0,8,Walking-Simulator
Life Tastes Like Cardboard,Free,87.40%,Sep 2019,296,0,7,Walking-Simulator
Eclipsium,$12.99,87.35%,Sep 2025,"11,029",12,196,Walking-Simulator
幽都酒馆,Free,87.35%,Feb 2024,98,0,3,Walking-Simulator
Soda Drinker Pro,$4.99,87.31%,Apr 2016,"1,416",1,21,Walking-Simulator
INDIKA,$24.99,87.30%,May 2024,"26,675",16,"1,200",Walking-Simulator
Adios,$17.99,87.25%,Mar 2021,"2,533",2,42,Walking-Simulator
Depanneur Nocturne,$4.99,87.24%,May 2020,621,0,14,Walking-Simulator
Baby Steps,$19.99,87.21%,Sep 2025,"10,562",78,"1,032",Walking-Simulator
The Windows Are Gone,Free,87.17%,Oct 2023,416,0,27,Walking-Simulator
RiME,$29.99,87.15%,May 2017,"41,361",2,634,Walking-Simulator
PROXIMATE,$5.99,87.09%,Nov 2024,913,0,34,Walking-Simulator
