Name,Price,Rating,Release,Follows,Online,Peak,Genre
DYNASTY WARRIORS: ORIGINS,$52.49,91.48%,Jan 2025,"88,997","1,058","69,483",Action-RPG
Chronicon,$13.99,91.45%,Aug 2020,"35,968",150,"4,868",Action-RPG
Black Gunner Wukong: Prologue,Free,91.44%,Nov 2023,713,0,358,Action-RPG
Another Crab's Treasure,$29.99,91.41%,Apr 2024,"45,021",282,"4,715",Action-RPG
Gothic II: Gold Edition,$19.99,91.36%,Nov 2005,"13,390","1,120","1,635",Action-RPG
Planescape: Torment: Enhanced Edition,$19.99,91.34%,Apr 2017,"34,291",66,955,Action-RPG
Mass Effect (2007),$7.49,91.30%,May 2008,"30,476",26,"4,183",Action-RPG
Cat Quest III,$19.99,91.27%,Aug 2024,"14,052",74,"2,603",Action-RPG
DARK SOULS™: REMASTERED,$19.99,91.12%,May 2018,"156,550","4,489","24,501",Action-RPG
Death's Door,$19.99,91.12%,Jul 2021,"64,175",115,"3,740",Action-RPG
Middle-earth™: Shadow of Mordor™,$3.99,91.10%,Sep 2014,"220,823",953,"48,668",Action-RPG
Brutal Legend,$2.99,91.05%,Feb 2013,"27,442",90,"7,172",Action-RPG
Blood Spear,Free,91.05%,Aug 2021,"3,741",1,143,Action-RPG
SNKRX,$2.99,91.03%,May 2021,"3,589",6,"1,766",Action-RPG
Torchlight II,$3.99,91.00%,Sep 2012,"95,497",310,"54,821",Action-RPG
Dungeon Defenders,$14.99,90.87%,Oct 2011,"34,463",308,"21,862",Action-RPG
Deadly Days: Roadtrip DemoDemo,Free,90.82%,May 2025,—,8,"2,060",Action-RPG
Shogun Showdown: Prologue,Free,90.80%,Apr 2023,"2,155",2,590,Action-RPG
AI LIMIT,$34.99,90.78%,Mar 2025,"61,640",193,"14,480",Action-RPG
Hyper Light Drifter,$19.99,90.77%,Mar 2016,"110,150",40,"4,954",Action-RPG
LIZARDS MUST DIE 2,$6.99,90.75%,Mar 2025,"6,105",19,650,Action-RPG
Clair Obscur: Expedition 33 – Deluxe Edition UpgradeDLC,$10.99,90.68%,Apr 2025,—,—,—,Action-RPG
沙雕之路,$10.00,90.66%,Oct 2019,"4,100",0,52,Action-RPG
CrossCode,$19.99,90.64%,Sep 2018,"76,113",96,"3,429",Action-RPG
Kemono Friends Cellien May Cry,Free,90.55%,May 2022,"2,494",1,302,Action-RPG
Flatworld,$14.99,90.54%,Apr 2022,"6,232",2,442,Action-RPG
Lies of P,$59.99,90.49%,Sep 2023,"155,954","1,758","30,095",Action-RPG
Overlord™,$2.49,90.45%,Jun 2007,"10,996",46,"2,303",Action-RPG
Withering Rooms,$24.99,90.44%,Apr 2024,"7,718",10,298,Action-RPG
The World is Your Weapon,$9.99,90.43%,Jun 2019,"4,138",0,81,Action-RPG
One Step From Eden,$7.99,90.40%,Mar 2020,"33,142",27,"2,360",Action-RPG
Castlevania Dominus Collection,$17.49,90.39%,Aug 2024,"13,883",95,"1,792",Action-RPG
The Great Rebellion,$15.99,90.35%,Feb 2024,"2,683",1,85,Action-RPG
Vampire Survivors: Emerald DioramaDLC,Free,90.29%,Apr 2025,—,—,—,Action-RPG
Enderal: Forgotten Stories (Special Edition),Free,90.21%,Mar 2021,"23,026",343,"2,428",Action-RPG
STAR OCEAN THE SECOND STORY R,$24.99,90.17%,Nov 2023,"26,425",111,"8,028",Action-RPG
Yakuza 6: The Song of Life,$19.99,90.11%,Mar 2021,"16,996",99,"1,635",Action-RPG
Worldless,$19.99,90.10%,Nov 2023,"6,750",8,113,Action-RPG
Vampire Survivors: Ante ChamberDLC,Free,90.08%,Oct 2025,—,—,—,Action-RPG
DARK SOULS™: Prepare To Die™ Edition,—,90.07%,Aug 2012,"127,232",153,"11,259",Action-RPG
Gothic 1,$19.99,90.07%,Mar 2001,"14,112",513,942,Action-RPG
Swords & Souls: Neverseen,$14.99,90.06%,Jul 2019,"24,568",66,"2,137",Action-RPG
Dungeons of Hinterberg,$7.81,89.91%,Jul 2024,"21,848",86,496,Action-RPG
Ys IX: Monstrum Nox,$59.99,89.90%,Jul 2021,"15,138",28,"1,365",Action-RPG
VOIN,$19.99,89.88%,Dec 2024,"23,544",81,"1,394",Action-RPG
Witchfire,$39.99,89.86%,Sep 2024,"104,598",252,"5,042",Action-RPG
NanoApostle,$19.99,89.80%,Sep 2024,"5,757",3,160,Action-RPG
SteamWorld Heist II,$29.99,89.67%,Aug 2024,"10,568",52,"1,601",Action-RPG
Draw,Free,89.65%,Oct 2023,466,2,38,Action-RPG
Mass Effect™ Legendary Edition,$5.99,89.61%,May 2021,"129,045","3,485","59,817",Action-RPG
Magic Rampage,Free,89.60%,May 2022,"2,014",27,314,Action-RPG
Fable - The Lost Chapters,$3.29,89.59%,Dec 2011,"29,829",56,"2,595",Action-RPG
Cryptmaster,$17.49,89.59%,May 2024,"12,907",32,406,Action-RPG
Guacamelee! Super Turbo Championship Edition,$14.99,89.58%,Aug 2014,"8,838",14,"2,723",Action-RPG
Barony,$19.99,89.49%,Jun 2015,"43,781",448,"6,304",Action-RPG
Shin chan: Shiro and the Coal Town,$29.99,89.47%,Oct 2024,"9,640",6,347,Action-RPG
Ys: The Oath in Felghana,$4.49,89.47%,Mar 2012,"9,096",9,438,Action-RPG
Okami HD,$9.99,89.45%,Dec 2017,"77,803",83,"2,136",Action-RPG
Ys Origin,$4.99,89.39%,May 2012,"16,143",33,"1,162",Action-RPG
Soulstone Survivors,$14.99,89.34%,Jun 2025,"54,935",963,"18,854",Action-RPG
TUNIC,$29.99,89.28%,Mar 2022,"76,790",197,"2,501",Action-RPG
Tales of Berseria™,$49.99,89.22%,Jan 2017,"112,453",119,"8,085",Action-RPG
Mage Arena,$2.99,89.21%,Jul 2025,"41,392",228,"17,404",Action-RPG
Mount & Blade,$2.49,89.20%,Sep 2008,"29,329",84,"1,918",Action-RPG
Hogwarts Legacy,$8.99,89.17%,Feb 2023,"691,285","16,884","879,308",Action-RPG
Like a Dragon: Infinite Wealth,$69.99,89.15%,Jan 2024,"50,109",742,"46,161",Action-RPG
Death Trash,$19.99,89.06%,Aug 2021,"59,226",4,"1,008",Action-RPG
Weird RPG,$10.99,88.98%,Oct 2022,"14,860",3,"1,160",Action-RPG
Overlord™: Raising Hell,$4.99,88.97%,Feb 2008,"4,835",32,"1,354",Action-RPG
Starcom: Unknown Space,$24.99,88.94%,Sep 2024,"30,809",51,"3,491",Action-RPG
Rune Factory 3 Special,$13.99,88.90%,Sep 2023,"8,600",42,362,Action-RPG
Titan Quest Anniversary Edition,$19.99,88.86%,Aug 2016,"79,025",936,"19,497",Action-RPG
Black Ice,$19.99,88.83%,Jul 2014,"9,086",1,47,Action-RPG
Realm of Ink,$16.99,88.82%,Sep 2024,"20,926",20,"5,395",Action-RPG
DeathSpank,$2.99,88.81%,Oct 2010,"2,104",6,434,Action-RPG
Knightmare Tower,$3.99,88.68%,Jun 2014,616,0,64,Action-RPG
Minecraft Dungeons,$14.79,88.67%,Sep 2021,"60,079","1,326","4,022",Action-RPG
VEIN,$19.99,88.64%,Oct 2025,"76,364","3,882","11,073",Action-RPG
Death Must Die,$6.99,88.62%,Nov 2023,"55,620",240,"15,905",Action-RPG
Blasphemous 2,$29.99,88.61%,Aug 2023,"44,580",233,"9,055",Action-RPG
UNSIGHTED,$7.99,88.60%,Sep 2021,"14,243",11,238,Action-RPG
Dark Messiah of Might & Magic,$9.99,88.58%,Oct 2006,"17,119",78,623,Action-RPG
Metaphor: ReFantazio,$34.99,88.57%,Oct 2024,"98,365","1,564","85,961",Action-RPG
The Riftbreaker,$29.99,88.53%,Oct 2021,"107,952",773,"21,741",Action-RPG
Pesticide Not Required,$6.50,88.53%,Mar 2024,"3,172",7,569,Action-RPG
Trials of Mana,$19.99,88.49%,Apr 2020,"47,880",46,"11,998",Action-RPG
近畿霊務局 - Kinki Spiritual Affairs Bureau,$9.99,88.49%,Oct 2024,"5,585",0,252,Action-RPG
Fate Seeker,$21.09,88.48%,Aug 2018,"35,220",11,"16,413",Action-RPG
Hitler Waifu,$0.99,88.47%,Aug 2023,591,0,8,Action-RPG
Ghost of a Tale,$19.99,88.40%,Mar 2018,"67,257",23,883,Action-RPG
Yet Another Zombie Survivors,$14.99,88.39%,Jul 2023,"36,911",221,"10,173",Action-RPG
Cyberpunk 2077: Phantom LibertyDLC,$29.99,88.36%,Sep 2023,—,—,—,Action-RPG
YAR: Forgotten Throne,$16.99,88.33%,Jul 2024,"4,849",17,286,Action-RPG
Sonic Frontiers,$59.99,88.28%,Nov 2022,"70,074",337,"19,181",Action-RPG
Lunacid,$13.99,88.27%,Oct 2023,"27,624",50,"1,855",Action-RPG
Granblue Fantasy: Relink,$35.99,88.26%,Feb 2024,"148,769",390,"114,054",Action-RPG
Swords 'n Magic and Stuff,$24.99,88.26%,Sep 2020,"9,382",6,547,Action-RPG
Yakuza 4 Remastered,$19.99,88.24%,Jan 2021,"7,386",86,913,Action-RPG
