Name,Price,Rating,Release,Follows,Online,Peak,Genre
Stronghold 2: Steam Edition,$14.99,85.94%,—,"7,048",194,882,Colony-Sim
The Sushi Spinnery,$8.99,85.77%,May 2022,"1,842",8,227,Colony-Sim
Calyx DemoDemo,Free,85.69%,Jan 2025,—,22,345,Colony-Sim
Pocket Academy 3,$8.99,85.45%,Jul 2023,"1,142",3,164,Colony-Sim
Fill Up The Hole,$2.99,85.43%,Jul 2025,"2,066",40,"1,246",Colony-Sim
Tropical Resort Story,$8.99,85.38%,Apr 2023,"1,116",1,151,Colony-Sim
Rise to Ruins,$14.99,85.33%,Oct 2019,"51,689",30,"1,469",Colony-Sim
Bunny Park,$4.99,85.26%,Jan 2020,"1,592",1,36,Colony-Sim
Convenience Stories,$8.99,85.25%,Jun 2023,"1,431",4,271,Colony-Sim
Oxygen: First Breath,Free,85.23%,Oct 2022,"6,045",2,968,Colony-Sim
HistoriCity: Florence DemoDemo,Free,85.20%,Jun 2024,—,0,41,Colony-Sim
Farlanders: Prologue,Free,85.15%,May 2021,"1,478",0,191,Colony-Sim
Repterra DemoDemo,Free,85.04%,Aug 2025,—,0,23,Colony-Sim
All Will Fall - DemoDemo,Free,84.97%,Mar 2025,—,44,680,Colony-Sim
Ale Abbey - Monastery Brewery Tycoon,$14.99,84.95%,Sep 2025,"13,779",48,923,Colony-Sim
Dawn of Man,$24.99,84.83%,Mar 2019,"128,071",494,"23,864",Colony-Sim
Echoes of the Plum Grove,$11.99,84.82%,Apr 2024,"17,115",121,"2,631",Colony-Sim
Startopia,$6.99,84.80%,Jun 2001,"6,973",2,182,Colony-Sim
Farthest Frontier,$27.99,84.78%,Oct 2025,"228,902","3,502","24,910",Colony-Sim
Unholy Heights,$3.99,84.78%,Aug 2013,"4,606",0,706,Colony-Sim
Airborne Empire,$29.99,84.74%,Jan 2025,"22,331",16,652,Colony-Sim
Oxygen Not Included: Neutronium Cosmetics PackDLC,$4.99,84.73%,Nov 2025,—,—,—,Colony-Sim
Northgard,$34.99,84.70%,Mar 2018,"328,281","1,903","20,235",Colony-Sim
The Pyraplex,$8.99,84.60%,Feb 2023,383,0,26,Colony-Sim
My Little Life,$5.99,84.56%,Jan 2025,"5,921",47,"1,525",Colony-Sim
