Name,Price,Rating,Release,Follows,Online,Peak,Genre
Insaniquarium Deluxe,$0.99,93.51%,Aug 2006,"6,634",96,277,Point-And-Click
100 Capitalist Cats,Free,93.50%,Jan 2024,"1,346",2,"2,313",Point-And-Click
我的小鲨鱼,Free,93.47%,Jan 2024,"6,500",1,"1,551",Point-And-Click
Tukoni: Prologue,Free,93.46%,Nov 2020,"5,018",1,93,Point-And-Click
Game Dev Tycoon,$9.99,93.44%,Aug 2013,"62,588",226,"7,761",Point-And-Click
Neighbours from Hell Compilation,—,93.44%,Feb 2004,"9,314",11,101,Point-And-Click
100 Ninja Cats,Free,93.34%,Feb 2024,"1,571",2,"1,255",Point-And-Click
Don't Escape: 4 Days to Survive,$14.99,93.33%,Mar 2019,"8,305",6,249,Point-And-Click
Ultimate Custom Night,Free,93.32%,Jun 2018,"49,519",298,"11,320",Point-And-Click
Hypnospace Outlaw,$19.99,93.31%,Mar 2019,"12,548",9,307,Point-And-Click
Zup! Z,$1.99,93.30%,Dec 2020,"1,165",3,"1,288",Point-And-Click
Stray Cats in Cozy Town,Free,93.30%,Aug 2024,"1,155",0,180,Point-And-Click
Day of the Tentacle Remastered,$2.99,93.27%,Mar 2016,"20,393",38,"1,097",Point-And-Click
last seen online,Free,93.23%,Mar 2024,555,4,35,Point-And-Click
Cats and Seek: Osaka,Free,93.21%,Nov 2023,881,0,107,Point-And-Click
Zup! X,$1.99,93.18%,May 2018,"2,322",4,389,Point-And-Click
Ace Attorney Investigations Collection,$19.99,93.13%,Sep 2024,"18,543",285,"5,304",Point-And-Click
Rusty Lake Hotel,$1.99,93.11%,Jan 2016,"10,729",32,"5,038",Point-And-Click
Lily's Well,Free,93.08%,Jan 2022,"1,988",2,140,Point-And-Click
The Room Three,$5.99,93.06%,Nov 2018,"15,828",69,"1,339",Point-And-Click
Coloring Game 2,Free,93.02%,Jan 2020,"2,564",21,502,Point-And-Click
Duck Detective: The Ghost of Glamping,$9.99,93.01%,May 2025,"6,257",14,466,Point-And-Click
