Name,Price,Rating,Release,Follows,Online,Peak,Genre
A Date with Death - Beyond the Bet DLCDLC,$9.99,90.51%,Dec 2024,—,—,—,Life-Sim
Weed Shop 3,$12.99,90.44%,Apr 2022,"8,967",24,"2,551",Life-Sim
Subside,$24.99,90.42%,Sep 2024,"3,581",2,84,Life-Sim
"Love, Ghostie",$19.99,90.39%,Aug 2024,"4,368",0,210,Life-Sim
Roots of Pacha,$24.99,90.34%,Apr 2023,"44,424",184,"6,062",Life-Sim
STORY OF SEASONS: Friends of Mineral Town,$9.99,90.31%,Jul 2020,"31,198",133,"3,706",Life-Sim
TheoTown,$9.99,90.30%,Jun 2019,"9,290",99,430,Life-Sim
Big Ambitions,$22.99,90.25%,Mar 2023,"62,012",695,"10,961",Life-Sim
Littlewood,$14.99,90.23%,Aug 2020,"35,570",21,"1,678",Life-Sim
Critter Cove,$24.99,90.22%,Sep 2024,"15,288",43,"1,307",Life-Sim
Bookshop Simulator,$15.99,90.22%,Sep 2025,"2,953",213,597,Life-Sim
Disney Dreamlight Valley,$27.99,90.10%,Dec 2023,"78,217","8,259","14,314",Life-Sim
Supermarket Simulator: Prologue,Free,90.10%,Jan 2024,"6,743",126,"3,681",Life-Sim
狂想！夏日盛宴,$6.99,90.07%,Nov 2025,252,0,173,Life-Sim
Politics The Game,$9.99,90.06%,Oct 2025,"9,180",65,"2,991",Life-Sim
Kiwi Clicker - Juiced Up,$1.49,90.03%,Jul 2022,"1,492",55,"1,658",Life-Sim
Bubble People,Free,89.94%,Oct 2021,"2,904",5,275,Life-Sim
My Time at Portia,$5.99,89.93%,Jan 2019,"183,953",403,"13,299",Life-Sim
Go-Go Town!,$18.74,89.92%,Jun 2024,"20,782",101,"2,280",Life-Sim
Dinkum,$19.99,89.91%,Apr 2025,"103,941","1,660","13,412",Life-Sim
Farm Together 2,$23.39,89.85%,May 2025,"14,927","1,039","4,291",Life-Sim
Gaucho and the Grassland,$19.99,89.85%,Jul 2025,"5,729",0,153,Life-Sim
ROGUE LIGHT DECK BUILDER,$3.99,89.83%,Mar 2025,"1,273",1,288,Life-Sim
Finnish Cottage Simulator,$14.99,89.81%,Nov 2024,"8,373",167,"1,237",Life-Sim
Rock Simulator,$1.99,89.79%,Nov 2019,"1,663",25,141,Life-Sim
Cheap Car Repair DemoDemo,Free,89.75%,Mar 2025,—,30,"1,192",Life-Sim
STORY OF SEASONS: Grand Bazaar,$39.99,89.74%,Aug 2025,"22,290","1,098","12,898",Life-Sim
My Name is Mayo 2,$0.99,89.73%,Nov 2020,183,1,13,Life-Sim
打工吧！天使酱 ~天使在魔界的劳改生活~,Free,89.72%,Jul 2022,"1,417",0,87,Life-Sim
Cinnabunny,$24.99,89.66%,Feb 2025,"5,694",6,245,Life-Sim
Nothing Together,Free,89.66%,Feb 2024,768,19,491,Life-Sim
The Confession,$1.99,89.63%,May 2020,575,0,12,Life-Sim
Tree Simulator 2023,$7.99,89.57%,Apr 2022,684,5,160,Life-Sim
A Little to the Left,$7.49,89.53%,Nov 2022,"51,118",538,"3,158",Life-Sim
Chinese Parents,$5.49,89.48%,Sep 2018,"89,714",146,"32,593",Life-Sim
The Heroes Around Me,$6.99,89.43%,Jun 2024,"3,898",0,118,Life-Sim
Shawarma Legend,$2.99,89.38%,Jul 2024,"13,291",61,"7,766",Life-Sim
The Ranch of Rivershine,$29.99,89.37%,May 2025,"10,103",161,"1,176",Life-Sim
you're just imagining it,Free,89.37%,Nov 2024,210,0,12,Life-Sim
Maltese's Fluffy Onsen,$5.99,89.36%,May 2025,"10,063",159,"5,409",Life-Sim
East Trade Tycoon: Inheritance,$2.99,89.32%,Oct 2024,"3,368",16,"4,973",Life-Sim
How to Train Your Cock,$3.99,89.28%,Oct 2025,"1,032",509,"1,510",Life-Sim
Gemporium: A Cute Mining Sim,$9.99,89.27%,Aug 2025,"3,436",25,665,Life-Sim
My Child Lebensborn,—,89.23%,Jun 2021,"6,181",0,239,Life-Sim
Potato Survival,$3.99,89.23%,Oct 2022,181,0,23,Life-Sim
Grimshire DemoDemo,Free,89.23%,Sep 2024,—,12,65,Life-Sim
Parcel Simulator,$17.99,89.22%,Jun 2025,"8,437",182,"3,617",Life-Sim
Time Flies,$11.99,89.20%,Jul 2025,"2,012",2,34,Life-Sim
Squeakross: Home Squeak Home - DemoDemo,Free,89.17%,Dec 2024,—,3,202,Life-Sim
SWOLLEN TO BURSTING UNTIL I AM DISAPPEARING ON PURPOSE,Free,89.14%,Aug 2023,330,0,19,Life-Sim
Go! Go! Hamster Chef!,Free,89.14%,Aug 2024,249,0,19,Life-Sim
Obenseuer,$19.99,89.10%,Dec 2018,"5,298",76,677,Life-Sim
and Roger,$4.99,89.09%,Jul 2025,"1,033",5,68,Life-Sim
Summon,$0.99,89.08%,Oct 2023,"1,089",5,128,Life-Sim
The Journey - Episode 1: Whatever This Is,$1.99,89.04%,Apr 2021,231,0,11,Life-Sim
The Tenants - Free Trial,—,89.03%,Mar 2021,"6,549",0,"1,729",Life-Sim
Starsand Island DemoDemo,Free,89.03%,Oct 2025,—,69,"1,374",Life-Sim
Stardom 3,$12.99,88.97%,Mar 2022,"4,168",29,"2,191",Life-Sim
Penguin Helper,$0.59,88.94%,Sep 2024,"1,869",3,29,Life-Sim
Survive or Thrive,$1.99,88.94%,Sep 2020,190,0,6,Life-Sim
Wanderstop,$14.99,88.93%,Mar 2025,"22,525",84,"1,317",Life-Sim
Welcome to Elderfield Alpha DemoDemo,Free,88.92%,Oct 2024,—,3,90,Life-Sim
Pocket Waifu: Desktop Pet,Free,88.85%,Aug 2024,"3,219",496,"2,852",Life-Sim
Such a guy,$12.99,88.79%,Oct 2025,969,7,306,Life-Sim
Princess Maker 2 Refine,$19.99,88.74%,Sep 2016,"7,873",10,245,Life-Sim
CUCKOLD SIMULATOR: Life as a Beta Male Cuck,$3.95,88.74%,Nov 2025,"2,810",4,70,Life-Sim
The Horrorscope,$1.99,88.73%,Mar 2020,402,0,18,Life-Sim
College Kings - The Complete Season,Free,88.72%,Mar 2021,"24,849",65,"2,116",Life-Sim
The Wandering Village,$29.99,88.69%,Jul 2025,"108,854",144,"5,786",Life-Sim
Tavern Manager Simulator 🍻,$8.69,88.68%,Aug 2024,"16,396",145,"1,929",Life-Sim
"Double Cheeseburger, Medium Fries",Free,88.68%,Jul 2023,348,2,30,Life-Sim
Crusader Kings III,$49.99,88.64%,Sep 2020,"304,510","21,354","98,872",Life-Sim
GolfTopia,$19.99,88.61%,Mar 2021,"2,598",2,77,Life-Sim
Cabin Fever,$9.99,88.56%,Jul 2021,"2,515",0,70,Life-Sim
Hole Dweller,$7.99,88.52%,Jan 2024,"2,640",11,114,Life-Sim
Timeflow – Life Sim,$7.49,88.48%,Jan 2019,"2,717",16,646,Life-Sim
Dream Town Island,$10.99,88.46%,Nov 2023,"2,117",10,278,Life-Sim
Onigiri Shop Simulator,$8.99,88.45%,Sep 2025,"1,052",36,500,Life-Sim
Returns Outlet Simulator,$9.99,88.40%,Aug 2025,939,148,412,Life-Sim
Farlands,$16.99,88.39%,Jul 2024,"12,920",4,478,Life-Sim
