Name,Price,Rating,Release,Follows,Online,Peak,Genre
Astrea: Six-Sided Oracles,$24.99,88.34%,Sep 2023,"17,843",22,"3,900",Card-Game
SHENZHEN SOLITAIRE,$2.99,88.20%,Dec 2016,303,4,22,Card-Game
Kingdoms Reborn,$19.99,88.18%,Nov 2020,"97,994",234,"3,990",Card-Game
Chrono Ark,$24.99,88.16%,May 2024,"40,021",142,"7,084",Card-Game
Kādomon: Hyper Auto Battlers Prologue,Free,88.15%,Feb 2024,842,1,141,Card-Game
KUNKUN League,$2.99,88.12%,Oct 2024,166,0,66,Card-Game
Yamafuda! 2nd station,$12.99,88.09%,Sep 2021,"1,039",0,24,Card-Game
Voice of Belldona DemoDemo,Free,88.09%,Apr 2023,—,1,28,Card-Game
Fights in Tight Spaces (Prologue),Free,88.07%,Dec 2020,"2,572",0,232,Card-Game
Alina of the Arena,$14.99,88.06%,Oct 2022,"15,735",8,"1,636",Card-Game
Minion Masters,Free,88.04%,May 2019,"272,577",289,"10,329",Card-Game
Circadian Dice,$5.99,88.00%,Jul 2022,"1,651",3,360,Card-Game
Die in the Dungeon: PROLOGUE,—,88.00%,Jan 2023,977,2,379,Card-Game
Dicewood DemoDemo,Free,88.00%,May 2025,—,2,162,Card-Game
LuckLand,$8.99,87.97%,Aug 2023,441,3,104,Card-Game
Card Hog,$5.99,87.89%,Dec 2023,"1,763",0,34,Card-Game
Esports Godfather,$19.99,87.79%,May 2024,"8,867",186,"5,183",Card-Game
Mansions of Madness,Free,87.79%,Aug 2016,"7,329",29,545,Card-Game
Die in the Dungeon,$14.99,87.78%,Feb 2025,"14,281",103,"2,848",Card-Game
Potionomics,$14.99,87.72%,Oct 2022,"35,814",117,"5,170",Card-Game
Abalon: Roguelike Tactics CCG,$29.99,87.72%,May 2023,"3,572",7,153,Card-Game
Bearnard,$16.99,87.70%,Aug 2024,997,0,30,Card-Game
Roulette Hero,$9.99,87.65%,Oct 2025,"1,069",27,568,Card-Game
NSFW Solitaire & Puzzles,Free,87.63%,Jan 2023,"1,992",77,186,Card-Game
Last Call BBS,$19.99,87.61%,Aug 2022,"8,280",25,770,Card-Game
There Are No Orcs,$8.99,87.60%,Nov 2025,"3,447",354,"1,833",Card-Game
Art Reborn: Painting Connoisseur,$6.99,87.58%,Aug 2023,831,0,67,Card-Game
Just A Shadow Game DemoDemo,Free,87.53%,Jan 2025,—,0,"1,102",Card-Game
Solar Settlers,$9.99,87.51%,Jul 2017,"1,632",2,30,Card-Game
Tainted Grail: Conquest,$19.99,87.50%,May 2021,"41,613",42,"3,294",Card-Game
WORLD OF HORROR,$19.99,87.48%,Oct 2023,"64,931",24,"2,637",Card-Game
LONESTAR,$12.99,87.48%,Apr 2025,"10,772",24,"1,563",Card-Game
Rise Of Titans,Free,87.45%,Jul 2018,524,0,21,Card-Game
Spirit Island,$24.99,87.42%,Jul 2020,"6,535",166,279,Card-Game
Poker Night at the Inventory,—,87.35%,Nov 2010,"11,261",16,"10,146",Card-Game
Pyrene,$14.99,87.18%,Sep 2024,"3,313",11,660,Card-Game
Bogos Binted?,$3.29,87.17%,Jul 2025,"2,422",31,264,Card-Game
Death Howl DemoDemo,Free,87.15%,Jan 2025,—,10,229,Card-Game
Crop Rotation,$9.99,87.13%,Sep 2023,"2,073",4,256,Card-Game
Touhou Rinrinki ~ Crafts of the Lucky Beast (Demo)Demo,Free,87.10%,Jul 2025,—,0,34,Card-Game
Dicey Dungeons,$14.99,87.08%,Aug 2019,"25,719",68,"2,994",Card-Game
One Turn Kill DemoDemo,Free,87.08%,Jun 2025,—,0,70,Card-Game
Tiny Pasture - Baabaa and Moomoo DLCDLC,Free,87.07%,Apr 2025,—,—,—,Card-Game
Fights in Tight Spaces,$24.99,87.06%,Dec 2021,"21,286",94,"1,469",Card-Game
Koi-Koi Japan [Hanafuda playing cards],$9.99,87.04%,Apr 2015,"2,880",5,182,Card-Game
My Card Is Better Than Your Card!,$14.99,87.03%,Oct 2025,"4,188",96,420,Card-Game
Through the Ages,$15.99,87.02%,Mar 2018,"11,829",122,747,Card-Game
CardVenture:JustAHead！DemoDemo,Free,87.00%,Jun 2025,—,0,135,Card-Game
Faerie Solitaire,$14.99,86.94%,Sep 2010,"1,223",3,"2,389",Card-Game
Root,$14.99,86.90%,Sep 2020,"27,272",158,599,Card-Game
Hand of Fate,$19.99,86.84%,Feb 2015,"71,622",2,"2,178",Card-Game
Thronebreaker: The Witcher Tales,$19.99,86.83%,Nov 2018,"86,593",107,"3,371",Card-Game
Card Shark,$19.99,86.70%,Jun 2022,"16,355",5,"1,017",Card-Game
Lewd Gym,$9.99,86.69%,Nov 2023,"11,122",4,412,Card-Game
Cubic Cosmos,$12.99,86.66%,Sep 2025,"2,208",38,"1,211",Card-Game
FAIRY TAIL: DUNGEONS,$13.99,86.57%,Aug 2024,"4,310",6,"1,193",Card-Game
Three Kingdoms: The Blood Moon,$8.99,86.54%,Apr 2025,"2,035",12,630,Card-Game
HeistGeist,$10.94,86.54%,Nov 2024,"1,266",0,23,Card-Game
Villages & Dungeons,$6.99,86.47%,May 2025,"2,998",20,507,Card-Game
Deck of Haunts DemoDemo,Free,86.47%,Dec 2024,—,0,146,Card-Game
Trizon,$8.99,86.46%,May 2025,"2,225",4,995,Card-Game
Supercar Collection Simulator DemoDemo,Free,86.46%,Feb 2025,—,0,705,Card-Game
Esports Godfather Hero Expansion PackDLC,$5.99,86.38%,Jan 2025,—,—,—,Card-Game
Dead Grid,$12.99,86.20%,Mar 2022,"2,051",3,194,Card-Game
Race for the Galaxy,$7.99,86.13%,Jun 2017,"1,919",17,63,Card-Game
Throne of Monsters 怪物的王座,$12.99,86.09%,Jun 2025,535,1,47,Card-Game
BOOK OF HOURS: HOUSE OF LIGHTDLC,$14.99,86.09%,Sep 2024,—,—,—,Card-Game
Gordian Quest,$19.99,86.06%,Jun 2022,"33,076",26,"1,913",Card-Game
Clank!,$22.99,86.06%,Oct 2024,"3,568",49,177,Card-Game
Aces & Adventures,$19.99,86.05%,Feb 2023,"8,705",3,"2,455",Card-Game
Draft of Darkness,$14.99,86.05%,Aug 2023,"2,287",2,51,Card-Game
The Witch's Cauldron,$7.99,86.02%,Jan 2024,"1,774",8,168,Card-Game
Ardor,Free,86.02%,May 2022,254,0,205,Card-Game
Rana Card,$12.99,85.96%,Sep 2025,"3,624",41,"4,451",Card-Game
Shisensho Solitaire,$1.99,85.94%,Oct 2019,108,2,13,Card-Game
Chess Evolved Online,Free,85.93%,Feb 2021,"1,034",11,141,Card-Game
Metroplex Zero: Sci-Fi Card Battler,$19.99,85.89%,Aug 2023,"4,723",0,16,Card-Game
Card-en-Ciel,$24.99,85.88%,Oct 2024,"5,879",9,"1,025",Card-Game
Choice of Life: Wild Islands,$6.99,85.88%,Sep 2024,834,0,81,Card-Game
Cat Lady - The Card Game,$3.99,85.86%,Dec 2019,673,0,16,Card-Game
DAGURI: Gambling Apocalypse,$2.99,85.86%,Oct 2022,192,1,61,Card-Game
Tactical Monsters Rumble Arena,—,85.85%,Feb 2018,"9,365",0,"1,283",Card-Game
RUNGORE: Beginner Experience,Free,85.83%,Sep 2022,"2,338",0,862,Card-Game
Moonsigil Atlas DemoDemo,Free,85.79%,May 2025,—,7,102,Card-Game
FINAL FANTASY VIII,$4.79,85.75%,Dec 2013,"32,242",101,"4,470",Card-Game
Skelly Selest,$4.99,85.72%,May 2018,"2,350",0,15,Card-Game
皇帝游戏：天下-皇游天下,$8.99,85.71%,May 2025,272,0,36,Card-Game
Exorcism Agency,$11.69,85.66%,Aug 2025,"1,326",5,291,Card-Game
Skogdal,$19.99,85.66%,Apr 2025,487,3,33,Card-Game
WitchHand,$11.99,85.65%,Feb 2024,"3,792",3,750,Card-Game
Capote,$5.99,85.63%,Oct 2025,480,3,101,Card-Game
Monmusu Gladiator,$4.99,85.57%,Jul 2021,761,0,28,Card-Game
Black Jacket DemoDemo,Free,85.55%,Nov 2025,—,47,390,Card-Game
Sentinels of the Multiverse,$1.99,85.52%,Dec 2014,"4,631",23,330,Card-Game
Arcane Eats DemoDemo,Free,85.52%,Nov 2025,—,9,801,Card-Game
Cento,$9.99,85.51%,May 2024,621,1,28,Card-Game
Dice Player One,$14.99,85.44%,Sep 2024,"1,695",4,540,Card-Game
Ratropolis,$17.99,85.40%,Dec 2020,"23,325",28,"1,470",Card-Game
Hadean Tactics,$19.99,85.35%,Aug 2023,"10,851",17,"2,045",Card-Game
Yohane the Parhelion - NUMAZU in the MIRAGE -,$29.68,85.33%,Feb 2024,"4,745",3,486,Card-Game
RACCOIN: Coin Pusher Roguelike DemoDemo,Free,85.31%,Nov 2025,—,580,"3,630",Card-Game
Roots Devour DemoDemo,Free,85.31%,Jan 2025,—,0,136,Card-Game
Esports Godfather Origin,—,85.27%,Jan 2024,"1,243",0,598,Card-Game
MistsBook,$4.79,85.27%,Jul 2024,194,0,11,Card-Game
战姬军团,Free,85.26%,Dec 2023,"3,563",68,756,Card-Game
Choice of Life: Middle Ages,$4.99,85.26%,Nov 2020,"1,956",3,96,Card-Game
Half-Demon Shinobi,$10.99,85.22%,Dec 2024,"13,133",11,"1,526",Card-Game
Meteorfall: Rustbowl Rumble,$14.99,85.18%,Mar 2025,579,0,35,Card-Game
Spinny Dungeon DemoDemo,Free,85.12%,Jun 2025,—,2,77,Card-Game
Vinecard,$9.99,85.11%,May 2025,233,0,23,Card-Game
Terraformers,$19.99,85.09%,Mar 2023,"31,038",116,"1,853",Card-Game
Poker Night 2,—,85.06%,Apr 2013,"7,857",18,"11,260",Card-Game
Meteorfall: Krumit's Tale,$14.99,85.03%,Jul 2020,"4,395",2,174,Card-Game
Starless Abyss DemoDemo,Free,85.02%,Feb 2025,—,1,115,Card-Game
Temperia: Soul of Majestic,Free,84.96%,Jul 2022,"7,009",0,"1,258",Card-Game
Drunken Rogue DemoDemo,Free,84.95%,May 2025,—,0,25,Card-Game
ダンジョンアーティファクト,$9.99,84.94%,Apr 2024,961,2,270,Card-Game
Solitaire Expeditions,$9.99,84.92%,Jul 2022,200,15,27,Card-Game
Quantum Protocol,$12.99,84.88%,Nov 2020,"3,282",0,94,Card-Game
RiffTrax: The Game,$9.99,84.86%,May 2022,"1,459",0,120,Card-Game
Hungry Horrors DemoDemo,Free,84.86%,Mar 2025,—,0,24,Card-Game
Hypnosis Card 2 Happy Life,$12.99,84.82%,Oct 2024,"4,196",5,307,Card-Game
Love of Magic Book 2: The War,$14.99,84.80%,May 2022,"1,677",5,86,Card-Game
Section Six Requiem DemoDemo,Free,84.78%,Jun 2025,—,0,14,Card-Game
Boo! Are you scared? The Chests Game,$2.99,84.76%,Jan 2025,751,36,69,Card-Game
Journey of Greed,$6.99,84.72%,Oct 2019,"5,744",1,491,Card-Game
Ascension: Deckbuilding Game,$9.99,84.72%,Dec 2014,"4,456",83,197,Card-Game
Reigns,$2.99,84.69%,Aug 2016,"23,276",9,"1,612",Card-Game
Powerful Courses,$14.99,84.69%,Mar 2023,"2,959",0,7,Card-Game
X-Angels,$10.99,84.63%,Jun 2024,"12,833",6,841,Card-Game
Command Deck,$14.99,84.60%,Sep 2025,462,4,22,Card-Game
Ruff Ghanor,$19.99,84.59%,Feb 2024,"3,949",0,524,Card-Game
Phantom Rose 2 Sapphire,$19.99,84.51%,Oct 2023,"4,426",0,288,Card-Game
Hive Blight DemoDemo,Free,84.51%,May 2025,—,2,38,Card-Game
Decktamer DemoDemo,Free,84.51%,Mar 2024,—,39,"1,022",Card-Game
The Last Craftsman,$9.99,84.49%,Sep 2025,581,3,18,Card-Game
Project: AHNO's Ark,$12.99,84.46%,Sep 2024,"1,657",1,60,Card-Game
Pawnbarian,$9.99,84.37%,Sep 2021,"3,430",4,139,Card-Game
Clue/Cluedo: Classic Edition,$16.99,84.33%,May 2018,"8,291",52,355,Card-Game
Bearly Brave DemoDemo,Free,84.32%,Aug 2025,—,1,40,Card-Game
GGST Additional Character 9 - AsukaDLC,$6.99,84.32%,May 2023,—,—,—,Card-Game
神树残响DLC扩展包 - 奴莱比岛之旅DLC,$4.99,84.31%,Oct 2025,—,—,—,Card-Game
