Name,Price,Rating,Release,Follows,Online,Peak,Genre
PLAYNE : The Meditation Game,$14.99,88.58%,May 2020,"8,827",2,38,Education
Zoombinis,$11.99,88.52%,Oct 2015,"2,624",34,188,Education
Timeflow – Life Sim,$7.49,88.48%,Jan 2019,"2,717",16,646,Education
Returns Outlet Simulator,$9.99,88.40%,Aug 2025,939,148,412,Education
YoloMouse - Game Cursor ChangerApplication,$3.99,88.32%,May 2020,"4,034","7,101","12,547",Education
In The Rural Village of Nagoro,Free,88.26%,Nov 2022,321,0,12,Education
Freddi Fish 3: The Case of the Stolen Conch Shell,$6.99,88.23%,Mar 1998,653,10,25,Education
Behind Glass: Aquarium Simulator,$14.99,88.22%,Jan 2025,"2,085",8,47,Education
Let's School Homeroom,—,88.18%,Jun 2023,"3,523",0,"1,075",Education
MEMOLOGY 2: OLD TIMES,$0.99,88.16%,Mar 2025,"1,547",2,66,Education
RPG Maker MVApplication,$11.99,88.15%,Oct 2015,"99,821",740,"2,486",Education
Bombe,$9.99,88.10%,Jun 2023,478,10,102,Education
Cats of the Ming Dynasty,$0.99,88.08%,Mar 2024,294,0,21,Education
Sand:box,$1.99,88.04%,Nov 2023,"1,955",68,185,Education
Cat Slide Tiles,$2.99,88.03%,Jun 2021,310,0,18,Education
Pro Philosopher 2: Governments & Grievances,$11.99,88.00%,Oct 2024,641,0,35,Education
Medieval Fantasy Survival Simulator,$1.99,87.93%,Feb 2022,198,0,9,Education
Cell to Singularity - Evolution Never Ends,Free,87.87%,Nov 2021,"17,863","3,489","7,340",Education
Socrates Jones: Pro Philosopher,Free,87.87%,Mar 2023,285,0,15,Education
Planetary Life,$11.99,87.84%,Aug 2025,"8,090",35,710,Education
Little Mouse's Encyclopedia,$4.99,87.81%,Feb 2019,"1,004",4,21,Education
Distant Memoraĵo,$9.99,87.79%,Jul 2021,"1,261",0,31,Education
Engare,$9.99,87.72%,Oct 2017,"1,883",0,48,Education
Factory Balls,$3.99,87.68%,May 2019,165,0,14,Education
ODDADA,$7.49,87.64%,Aug 2024,"2,354",5,68,Education
RPG Maker 2003Application,$1.99,87.63%,Apr 2015,"4,092",48,173,Education
Art Reborn: Painting Connoisseur,$6.99,87.58%,Aug 2023,831,0,67,Education
The Conquest of Go,$14.99,87.57%,Dec 2020,"3,152",2,91,Education
Traditional Chinese Medicine Simulator,$10.49,87.55%,Jul 2021,"8,675",0,58,Education
Thrive,$4.99,87.54%,Nov 2021,"11,302",25,235,Education
Pumping Simulator 2,$11.99,87.54%,Sep 2023,"3,949",28,"1,247",Education
Bung Ball,Free,87.49%,Jun 2023,93,0,10,Education
Crosshair V2Application,Free,87.47%,Jan 2023,"7,052","3,667","22,805",Education
Occupy White Walls,Free,87.44%,Jul 2022,"6,599",0,163,Education
Predynastic Egypt,$2.49,87.39%,Oct 2016,"12,038",11,295,Education
Fish Game,$24.99,87.30%,Oct 2023,"3,801",0,165,Education
Sokobond,$14.99,87.26%,Jul 2014,"2,106",0,81,Education
Sandboxels,$0.99,87.24%,May 2025,643,51,114,Education
APICO,$19.99,87.17%,May 2022,"10,261",23,645,Education
Receiver 2,$19.99,87.10%,Apr 2020,"8,737",12,"1,150",Education
Easy PoseApplication,$12.99,87.10%,Jun 2020,"5,952",80,178,Education
Shashingo: Learn Japanese with Photography,$11.99,87.07%,Feb 2024,"10,896",4,132,Education
Kaizen: A Factory Story,$19.99,87.03%,Jul 2025,"6,431",10,743,Education
Yolo Space Hacker,$24.99,87.02%,Dec 2020,"1,324",0,29,Education
Break a Leg,Free,86.94%,Jul 2024,572,1,55,Education
Tokyo School Life,$14.99,86.90%,Feb 2015,"8,358",0,116,Education
Learn Japanese To Survive! Hiragana Battle,$6.99,86.86%,Feb 2016,"24,272",2,495,Education
The Making of Karateka,$19.99,86.84%,Aug 2023,"1,289",0,23,Education
Mr. Pompy's Extravagant Quiz,Free,86.84%,Oct 2024,312,0,18,Education
Where Christmas Elves 圣诞精灵在哪里,$0.99,86.80%,Nov 2023,90,0,4,Education
WolfQuest: Classic,$29.99,86.78%,Nov 2015,"12,598",6,245,Education
Lam Lam,Free,86.77%,Nov 2022,224,0,22,Education
Psycho Bathroom,Free,86.76%,Apr 2022,264,0,655,Education
Rocksmith™,—,86.75%,Oct 2012,"7,200",1,"1,406",Education
112 Operator,$24.99,86.73%,Apr 2020,"21,877",79,"1,805",Education
Pixel With Your Friends,$4.99,86.73%,Aug 2024,136,2,22,Education
911 Operator,$14.99,86.68%,Feb 2017,"50,091",265,"10,019",Education
The Book of Distance,Free,86.66%,Oct 2020,468,0,14,Education
Tank Mechanic Simulator - First Supply DLCDLC,$7.99,86.65%,Feb 2022,—,—,—,Education
Rocksmith® 2014 Edition REMASTERED LEARN & PLAY,$2.99,86.62%,Dec 2024,"69,908",718,"4,063",Education
The Bibites: Digital Life,$9.99,86.59%,Mar 2025,"3,056",40,200,Education
