Name,Price,Rating,Release,Follows,Online,Peak,Genre
Getting Over It with Bennett Foddy,$7.99,81.32%,Dec 2017,"184,945",501,"5,054",Casual
OCTOPATH TRAVELER™,$23.99,83.98%,Jun 2019,"155,534",501,"6,177",Casual
Plague Inc: Evolved,$14.99,92.76%,Feb 2016,"215,562",496,"17,889",Casual
Far Cry® New Dawn,$7.99,74.37%,Feb 2019,"79,568",488,"16,975",Casual
Gas Station Simulator,$9.99,86.22%,Sep 2021,"55,904",487,"12,229",Casual
"Papers, Please",$9.99,95.69%,Aug 2013,"119,966",478,"6,129",Casual
Football Manager 2017,—,59.02%,Nov 2016,"50,732",469,"72,824",Casual
Doki Doki Literature Club!,Free,95.30%,Sep 2017,"162,742",469,"7,402",Casual
Universe Sandbox,$29.99,94.28%,Aug 2015,"171,960",458,750,Casual
Unpacking,$7.99,91.38%,Nov 2021,"67,246",411,"2,512",Casual
MARVEL Puzzle Quest,Free,67.81%,Dec 2013,"4,408",401,"3,002",Casual
Real Pool 3D - Poolians,Free,75.17%,Dec 2019,"10,097",401,"3,618",Casual
My Time at Portia,$5.99,89.93%,Jan 2019,"183,953",389,"13,299",Casual
We Were Here Together,$4.93,81.11%,Oct 2019,"48,527",384,"2,930",Casual
Super Animal Royale,Free,91.79%,Aug 2021,"49,665",377,"7,648",Casual
Stick Fight: The Game,$4.99,92.24%,Sep 2017,"150,863",374,"5,147",Casual
Cyberhunt,$0.49,81.67%,May 2017,753,360,"6,546",Casual
Call of Duty® 2,$14.99,90.94%,Oct 2005,"10,597",352,822,Casual
LEGO® Marvel™ Super Heroes,$19.99,93.39%,Oct 2013,"28,440",339,"5,953",Casual
Gang Beasts,$19.99,84.00%,Dec 2017,"249,984",338,"3,062",Casual
Jurassic World Evolution,$11.24,85.93%,Jun 2018,"229,921",335,"60,296",Casual
Spyro™ Reignited Trilogy,$13.99,91.68%,Sep 2019,"48,009",332,"4,198",Casual
Sven Co-op,Free,91.69%,Jan 1999,"54,709",326,"6,572",Casual
Life is Strange - Episode 1,Free,94.98%,Jan 2015,"259,896",321,"18,260",Casual
Muse Dash,$2.99,89.02%,Jun 2019,"145,814",308,"11,478",Casual
PICO PARK:Classic Edition,Free,75.44%,Apr 2016,"12,130",303,"18,798",Casual
Zuma's Revenge!,$0.99,91.02%,Sep 2009,"3,804",291,399,Casual
Razortron 2000,$0.49,83.01%,Oct 2016,865,288,"7,083",Casual
Peggle Deluxe,$0.99,94.70%,Feb 2007,"3,745",281,473,Casual
911 Operator,$14.99,86.68%,Feb 2017,"50,091",274,"10,019",Casual
Blush Blush,Free,84.26%,Apr 2019,"12,758",266,"2,581",Casual
Bloons TD Battles,Free,88.93%,Apr 2016,"15,743",260,"2,634",Casual
Portal Knights,$2.99,81.74%,May 2017,"164,253",258,"6,545",Casual
Elsword,Free,71.99%,Jul 2014,"40,451",257,"2,587",Casual
Game Dev Tycoon,$9.99,93.44%,Aug 2013,"62,588",254,"7,761",Casual
The Henry Stickmin Collection,$5.99,96.83%,Aug 2020,"51,924",252,"2,812",Casual
Mini Metro,$4.99,93.60%,Nov 2015,"53,409",245,"2,104",Casual
TrackMania Nations Forever,Free,88.13%,Apr 2008,—,243,"1,466",Casual
Farm Together,$19.99,91.97%,Oct 2018,"75,138",238,"6,998",Casual
Soda Dungeon 2,Free,90.86%,Jul 2020,"7,561",237,"13,385",Casual
LoveBeat,Free,72.64%,Jan 2016,"5,396",231,470,Casual
RollerCoaster Tycoon®: Deluxe,$5.99,91.46%,Mar 1999,"12,273",228,"1,233",Casual
Hero Zero - Multiplayer RPG,Free,79.16%,Jul 2016,"3,546",226,"1,447",Casual
LEGO® Star Wars™ - The Complete Saga,$19.99,94.47%,Nov 2009,"30,427",226,"2,004",Casual
Hexcells Infinite,$4.99,93.31%,Sep 2014,"2,577",222,384,Casual
Marbles on Stream,Free,82.95%,Mar 2018,"8,250",219,"1,202",Casual
Atlantica Global,Free,62.92%,May 2020,"4,513",214,"1,761",Casual
Steep™,$29.99,81.11%,Dec 2016,"136,902",213,"2,113",Casual
Wizard And Minion Idle,Free,84.82%,Feb 2019,751,213,729,Casual
DJMAX RESPECT V,$49.99,86.72%,Mar 2020,"67,554",212,"5,413",Casual
Broforce,$14.99,95.22%,Oct 2015,"113,588",212,"4,285",Casual
LEGO® The Lord of the Rings™,$19.99,87.95%,Nov 2012,"18,579",210,"5,045",Casual
Crusaders of the Lost Idols,Free,79.63%,Oct 2015,"5,382",209,"4,068",Casual
SPORE™ Galactic Adventures,$4.99,86.61%,Jun 2009,"14,766",206,"1,517",Casual
Baba Is You,$14.99,95.43%,Mar 2019,"42,875",205,"1,533",Casual
Digimon Masters Online,Free,65.82%,Nov 2016,"36,066",203,"3,830",Casual
Cadria Item Shop,Free,70.04%,Aug 2018,"4,719",197,"1,586",Casual
Quaver,Free,89.59%,Jul 2020,"5,163",197,891,Casual
"Good Pizza, Great Pizza - Cooking Simulator Game",$4.99,85.51%,Jan 2023,"15,132",191,"1,039",Casual
Bloons TD 5,$9.99,92.04%,Nov 2014,"15,152",183,"1,660",Casual
The Witness,$39.99,82.87%,Jan 2016,"118,140",180,"6,185",Casual
Sally Face - Episode One,$2.99,95.03%,Dec 2016,"50,082",179,"2,107",Casual
Electrician Simulator,$17.99,77.33%,Sep 2022,"22,034",178,"1,810",Casual
Fireworks Mania - An Explosive Simulator,$9.74,93.59%,Dec 2020,"12,957",175,"1,082",Casual
Fall Guys,—,80.68%,Aug 2020,"696,463",173,"172,213",Casual
RollerCoaster Tycoon® 2: Triple Thrill Pack,$2.49,86.59%,Oct 2002,"11,903",169,833,Casual
Streets of Rage 4,$8.74,90.50%,Apr 2020,"46,100",169,"6,438",Casual
Senren＊Banka,$34.99,96.59%,Feb 2020,"74,656",167,"3,013",Casual
SAS: Zombie Assault 4,Free,83.89%,Oct 2017,"15,260",165,"1,530",Casual
My Little Farmies,Free,54.23%,Feb 2018,"1,911",164,204,Casual
Tank Force: Online Shooter Game,Free,64.59%,Oct 2017,"5,319",163,434,Casual
Viscera Cleanup Detail,$12.99,90.27%,Oct 2015,"66,071",163,"1,773",Casual
UFO 50,$24.99,92.24%,Sep 2024,"17,819",161,"4,130",Casual
PC Building Simulator,$19.99,91.90%,Jan 2019,"171,435",159,"3,884",Casual
UNO,$3.99,70.25%,Dec 2016,"145,772",158,"5,639",Casual
Trophy Fishing 2,Free,71.72%,Jul 2017,"3,472",154,515,Casual
Vegas Infinite by PokerStars,Free,77.91%,Nov 2023,"3,991",154,390,Casual
Scribble It!,Free,83.81%,Oct 2020,"9,962",153,"1,661",Casual
Time Clickers,Free,84.45%,Jul 2015,"10,430",153,"7,003",Casual
Duck Game,$6.49,94.67%,Jun 2015,"57,497",152,"5,047",Casual
Sonic Mania,$4.99,91.76%,Aug 2017,"47,214",150,"11,937",Casual
Carcassonne - Tiles & Tactics,$9.99,81.98%,Nov 2017,"8,418",147,"1,050",Casual
STEINS;GATE,$29.99,94.90%,Sep 2016,"100,172",147,"3,565",Casual
Pool 2D - Poolians,Free,84.29%,Dec 2019,"5,946",145,"1,057",Casual
Super Jigsaw Puzzle: Generations,Free,89.47%,Apr 2019,"1,580",144,243,Casual
Kingdom Rush  - Tower Defense,$9.99,94.71%,Jan 2014,"23,194",144,"2,022",Casual
Cat Goes Fishing,$6.99,91.69%,Jan 2015,"19,844",143,867,Casual
BattleBlock Theater®,$4.49,95.58%,May 2014,"143,267",142,"14,781",Casual
Eternal Card Game,Free,75.27%,Nov 2018,"14,661",140,"2,894",Casual
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,$14.99,82.01%,May 2014,"73,720",139,"3,878",Casual
Chinese Parents,$5.49,89.48%,Sep 2018,"89,714",133,"32,593",Casual
Dragon Cliff,$9.99,86.51%,May 2018,"31,278",132,"5,953",Casual
Call of Duty®: Modern Warfare® Remastered (2017),$19.99,52.84%,Jul 2017,"88,357",131,"1,409",Casual
My Free Farm 2,Free,58.35%,Apr 2018,"1,797",131,233,Casual
Richman10,$13.99,51.81%,Oct 2019,"38,141",129,"10,791",Casual
Freestyle 2: Street Basketball,Free,70.85%,Apr 2015,"29,213",125,"10,356",Casual
Talisman: Digital Classic Edition,—,76.46%,Feb 2014,"19,510",125,"3,590",Casual
HD Poker: Texas Hold'em,Free,77.78%,Sep 2018,"1,862",125,616,Casual
Kingdom Rush Frontiers - Tower Defense,$9.99,93.81%,Jul 2016,"21,700",125,"1,011",Casual
Fernbus Simulator,$29.99,72.82%,Aug 2016,"45,791",123,865,Casual
LEGO® Batman™ 2: DC Super Heroes,$19.99,91.67%,Jun 2012,"9,324",123,"1,674",Casual
PixARK,$8.59,71.57%,May 2019,"132,018",120,"14,144",Casual
The Jackbox Party Pack 3,$14.99,93.35%,Oct 2016,"17,491",120,"10,972",Casual
HuniePop,$9.99,93.62%,Jan 2015,"49,895",119,"5,416",Casual
PickCrafter,Free,83.71%,Dec 2017,"2,944",118,"1,820",Casual
Puzzle Pirates,Free,76.83%,Aug 2011,"2,165",117,949,Casual
Minimalism,$0.99,65.52%,Feb 2017,"1,411",116,"18,698",Casual
Overcooked,$16.99,87.98%,Aug 2016,"93,615",116,"1,502",Casual
Hotel Renovator,$6.24,74.87%,Mar 2023,"15,517",114,"2,503",Casual
Endless Sky,Free,89.37%,Oct 2015,"26,303",114,"3,035",Casual
Ticket to Ride: Classic Edition,—,83.07%,May 2012,"8,316",113,"2,164",Casual
Goat Simulator,$9.99,89.42%,Apr 2014,"104,086",111,"10,108",Casual
Bit Heroes Quest,Free,77.72%,Dec 2017,"5,606",110,977,Casual
100% Orange Juice,$6.99,89.70%,Sep 2013,"32,318",109,"5,486",Casual
Learn to Fly 3,Free,91.92%,Feb 2016,"5,431",109,"1,506",Casual
Our Life: Beginnings & Always,Free,95.92%,Nov 2020,"24,471",109,"1,942",Casual
The Tenants,$19.99,77.38%,Mar 2021,"46,022",107,"4,583",Casual
Unrailed!,$19.99,91.02%,Sep 2020,"59,343",107,"9,852",Casual
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,$29.99,91.70%,Jun 2020,"55,768",107,"15,419",Casual
Peggle™ Nights,$0.99,92.36%,Oct 2008,"2,332",107,211,Casual
Insaniquarium Deluxe,$0.99,93.51%,Aug 2006,"6,634",105,277,Casual
Secret Neighbor: Hello Neighbor Multiplayer,$19.99,84.15%,Oct 2019,"126,155",104,"5,174",Casual
"Warhammer 40,000: Dawn of War III",$39.99,48.44%,Apr 2017,"117,839",103,"25,676",Casual
Pinball FX3,Free,84.96%,Sep 2017,"14,375",103,835,Casual
Picross Touch,Free,89.76%,Aug 2016,763,102,239,Casual
Pixel Puzzles Ultimate Jigsaw Puzzles,Free,73.38%,Aug 2022,"2,728",100,"4,048",Casual
Space Pilgrim Episode III: Delta Pavonis,$1.99,78.32%,Feb 2016,"1,036",100,"3,186",Casual
Town of Salem,$4.99,86.46%,Dec 2014,"36,849",100,"3,787",Casual
Nova Drift,$17.99,93.14%,Aug 2024,"24,445",97,"1,713",Casual
Firewatch,$19.99,89.22%,Feb 2016,"200,360",96,"17,568",Casual
SUPERHOT,$7.49,89.65%,Feb 2016,"134,497",96,"5,584",Casual
Bomber Crew,$15.99,85.61%,Oct 2017,"44,101",95,"9,898",Casual
KoboldKare,$14.99,86.84%,Dec 2022,"10,493",95,470,Casual
Tricky Towers,$14.99,88.13%,Aug 2016,"51,196",95,"1,002",Casual
Rolling Line,$19.99,91.56%,Apr 2018,"6,937",95,215,Casual
The Walking Dead: A New Frontier,$14.99,81.42%,Dec 2016,"61,739",94,"8,278",Casual
Ascension: Deckbuilding Game,$9.99,84.72%,Dec 2014,"4,456",92,197,Casual
Swords and Sandals Classic Collection,$6.99,88.79%,Apr 2019,"4,510",92,553,Casual
Shop Heroes,—,65.50%,Aug 2016,"11,720",91,"4,222",Casual
GRID 2,—,82.58%,—,"93,272",90,"27,339",Casual
Chuzzle Deluxe,$0.99,89.01%,Aug 2006,"1,187",90,128,Casual
My Lands: Black Gem Hunting,Free,80.56%,Sep 2014,"6,859",88,"1,226",Casual
Shadowverse CCG,Free,72.43%,Oct 2016,"46,630",87,"24,167",Casual
