Name,Price,Rating,Release,Follows,Online,Peak,Genre
Beam Eye TrackerApplication,$29.99,82.27%,Aug 2023,"3,711",293,403,Racing
Car Mechanic Simulator 2018,$17.58,89.80%,Jul 2017,"133,732",288,"8,474",Racing
Razortron 2000,$0.49,83.01%,Oct 2016,865,284,"7,083",Racing
Car Service Together DemoDemo,Free,77.82%,Oct 2025,—,280,"2,760",Racing
Test Drive Unlimited Solar Crown,$24.99,37.67%,Sep 2024,"60,309",278,"5,305",Racing
Screw Drivers,Free,83.27%,Jun 2024,"6,625",276,"2,245",Racing
Need for Speed™ Hot Pursuit Remastered,$5.99,79.10%,Nov 2020,"25,367",264,"1,228",Racing
RIDE 5,$59.99,78.53%,Aug 2023,"16,286",259,957,Racing
Sonic Adventure 2,$4.99,87.35%,Nov 2012,"24,147",258,"1,826",Racing
F1® 22,—,67.85%,Jul 2022,"41,917",249,"25,172",Racing
TrackMania Nations Forever,Free,88.13%,Apr 2008,—,241,"1,466",Racing
MX vs ATV Legends,$39.99,75.46%,Jun 2022,"9,681",231,469,Racing
F1® 2020,—,91.80%,Jul 2020,"40,712",230,"24,010",Racing
TrackDayR,$24.99,82.03%,Mar 2021,"4,864",228,345,Racing
LEGO® City Undercover,$19.99,88.53%,Apr 2017,"16,700",221,833,Racing
Wreckfest 2,$29.99,71.86%,Mar 2025,"40,820",214,"3,153",Racing
JDM: Japanese Drift Master,$33.94,72.99%,May 2025,"65,333",214,"4,082",Racing
Steep™,$29.99,81.11%,Dec 2016,"136,902",211,"2,113",Racing
Haste,$19.99,89.12%,Apr 2025,"38,625",208,"5,312",Racing
Sledders,$29.99,91.36%,Mar 2025,"9,798",208,"1,894",Racing
Marbles on Stream,Free,82.95%,Mar 2018,"8,250",207,"1,202",Racing
WRC 10 FIA World Rally Championship,$4.99,70.13%,Sep 2021,"11,714",206,854,Racing
Tower Unite,$11.99,87.76%,Apr 2025,"47,735",203,"1,603",Racing
WRC Generations – The FIA WRC Official Game,$5.99,67.94%,Nov 2022,"11,070",201,"1,241",Racing
Kart Racing Pro,$39.99,83.45%,Jul 2017,"5,308",199,232,Racing
Project CARS 2,—,79.55%,Sep 2017,"82,005",196,"6,775",Racing
FPV SkyDive : FPV Drone Simulator,Free,79.81%,May 2021,"4,355",168,238,Racing
Expeditions: A MudRunner Game,$15.99,55.10%,Mar 2024,"42,374",167,"4,915",Racing
F1® 2021,—,84.16%,Jul 2021,"38,682",163,"25,575",Racing
APB Reloaded,Free,62.91%,Dec 2011,"57,580",160,"11,813",Racing
DiRT Rally,—,86.39%,Dec 2015,"121,649",155,"20,343",Racing
WRC 9 FIA World Rally Championship,$2.99,75.22%,Sep 2021,"8,244",150,"1,005",Racing
MotoGP™25,$59.99,66.47%,Apr 2025,"3,325",149,"1,091",Racing
FlatOut,$1.49,88.62%,Jul 2005,"4,244",148,637,Racing
RIDE 4,$39.99,80.46%,Oct 2020,"47,993",143,"2,898",Racing
WRC 7 FIA World Rally Championship,$1.99,79.48%,Sep 2017,"27,724",142,"11,215",Racing
Torque Drift,Free,74.79%,Apr 2021,"21,313",141,"1,264",Racing
SpeedRunners,$14.99,92.15%,Apr 2016,"67,833",136,"17,212",Racing
F1 2018,—,87.10%,Aug 2018,"25,827",134,"9,809",Racing
Backseat Drivers: Free Test DriveDemo,Free,86.13%,Apr 2025,—,130,"3,472",Racing
R2Beat: 音速觉醒,Free,57.50%,Apr 2022,"8,379",129,"3,049",Racing
Used Cars Simulator,$14.99,72.35%,Apr 2025,"10,117",129,697,Racing
Sonic Adventure DX,$3.99,89.37%,Mar 2011,"10,078",126,597,Racing
NIGHT-RUNNERS™ PROLOGUE,Free,92.86%,Feb 2024,"29,567",122,"2,428",Racing
Easy Delivery Co.,$12.99,92.31%,Sep 2025,"19,581",118,"1,145",Racing
FlatOut: Ultimate Carnage Collector's Edition,$3.99,87.31%,Aug 2008,"5,389",116,508,Racing
Trackmania United Forever,$14.99,90.66%,Apr 2008,"5,974",107,"1,345",Racing
MotoGP™24,$49.99,80.05%,May 2024,"4,349",102,"1,006",Racing
GRID 2,—,82.58%,—,"93,272",97,"27,339",Racing
Winning Post 10 2024,—,66.44%,Mar 2024,"1,334",96,"3,734",Racing
GRID Legends,$17.99,72.75%,Feb 2022,"14,691",96,455,Racing
Mafia,$14.99,85.46%,Aug 2002,"35,760",95,"9,112",Racing
art of rally,$12.49,89.43%,Sep 2020,"18,800",93,477,Racing
Burnout™ Paradise Remastered,$4.99,61.52%,Aug 2018,"10,724",92,599,Racing
SimplePlanes,$12.99,90.46%,Dec 2015,"48,129",92,885,Racing
Speedway Challenge 2025,Free,70.57%,Apr 2025,758,91,319,Racing
Pro Cycling Manager 2023,$39.99,73.04%,Jun 2023,"2,125",89,"2,762",Racing
F1® 2019,—,87.85%,Jun 2019,"26,065",85,"12,736",Racing
TRYP FPV: Drone Racer Simulator,$13.59,81.93%,Jun 2022,"11,590",84,234,Racing
RAGE 2,$7.99,62.43%,May 2019,"74,319",83,"13,673",Racing
RealFlight 9.5S,—,81.37%,Sep 2019,"2,600",83,425,Racing
RAGE,$3.99,76.25%,Oct 2011,"48,875",82,"18,059",Racing
TrackMania² Stadium,$9.99,85.98%,Feb 2013,"13,529",82,"3,597",Racing
Need for Speed™ Rivals,$6.99,73.53%,Nov 2013,"15,564",77,415,Racing
Formula Legends,$15.99,77.60%,Sep 2025,"4,487",77,302,Racing
Backseat Drivers,$9.99,74.66%,Oct 2025,"9,037",74,"1,366",Racing
RENNSPORT,Free,44.11%,Nov 2025,"4,533",70,306,Racing
KartKraft™,$4.49,70.44%,Nov 2018,"19,429",70,206,Racing
DashPanelApplication,Free,78.27%,Jan 2018,"3,064",68,336,Racing
DiRT 4,—,78.80%,Jun 2017,"46,910",67,"4,396",Racing
The Drone Racing League Simulator,$9.99,81.53%,Jun 2017,"10,075",67,421,Racing
Supercar Collection Simulator,$12.99,81.83%,Sep 2025,"5,803",66,"1,387",Racing
Banana & Cucumber,Free,66.53%,Jun 2024,609,65,"15,155",Racing
MXGP 2021 - The Official Motocross Videogame,$39.99,80.30%,Nov 2021,"2,590",63,194,Racing
Project CARS,—,77.70%,May 2015,"116,549",59,"10,688",Racing
F1® Manager 2022,—,72.37%,Aug 2022,"35,107",58,"25,575",Racing
Winning Post 10,—,72.41%,Mar 2023,"1,707",58,"5,115",Racing
Kreedz Climbing,Free,78.29%,Jun 2017,"2,994",57,379,Racing
Aerofly FS 4 Flight Simulator,$59.99,83.68%,Jul 2022,"6,454",57,133,Racing
Liftoff®: Micro Drones,$15.99,86.42%,Aug 2025,"4,408",57,114,Racing
Clustertruck,$14.99,91.19%,Sep 2016,"64,267",57,"2,658",Racing
Motorcycle Mechanic Simulator 2021,$1.99,65.47%,Nov 2021,"15,909",55,547,Racing
Sonic & All-Stars Racing Transformed Collection,$19.99,91.13%,Jan 2013,"19,263",55,"5,861",Racing
NASCAR Heat 5,—,78.26%,Jul 2020,"5,088",54,517,Racing
Golden Lap,$11.24,80.47%,Sep 2024,"3,093",49,289,Racing
Circuit Superstars,$9.99,82.70%,Oct 2023,"14,480",49,396,Racing
Rock of Ages 3: Make & Break,$2.99,72.26%,Jul 2020,"6,205",48,205,Racing
VRC PRO,$22.49,82.04%,Mar 2015,"7,941",48,193,Racing
Pro Cycling Manager 2022,$39.99,79.93%,Jun 2022,"2,797",47,"3,263",Racing
Pro Cycling Manager 2020,$19.99,82.31%,Jun 2020,"3,610",47,"2,884",Racing
Garfield Kart,$1.24,85.48%,Nov 2013,"5,717",46,186,Racing
Starters Orders 7 Horse Racing,$34.99,71.30%,May 2019,752,45,96,Racing
DIRT 5,$14.99,53.27%,Nov 2020,"15,765",43,"1,203",Racing
Nothing,$0.99,91.44%,Jan 2024,"2,266",43,694,Racing
F1® Manager 2023,$19.49,77.48%,Jul 2023,"10,119",42,"6,429",Racing
Winning Post 9 2022,—,72.39%,Apr 2022,"1,165",41,"4,727",Racing
Tour de France 2025,$39.99,74.10%,Jun 2025,"1,023",41,572,Racing
F1™ 2017,—,84.61%,Aug 2017,"31,665",41,"8,111",Racing
Boat Together,$4.99,84.73%,Nov 2025,422,41,184,Racing
"Warhammer 40,000: Speed Freeks",$19.99,78.04%,May 2025,"23,844",40,"2,719",Racing
MX vs. ATV Reflex,$19.99,84.93%,Nov 2010,"5,418",40,429,Racing
Road Redemption,$19.99,80.47%,Oct 2019,"78,192",39,806,Racing
MotoGP™20,$2.99,85.74%,Apr 2020,"8,046",39,"1,660",Racing
MXGP 2019 - The Official Motocross Videogame,$2.49,86.13%,Aug 2019,"2,389",38,307,Racing
F1 2015,—,59.31%,Jul 2015,"10,689",37,"88,029",Racing
Bro Falls,Free,76.45%,Dec 2021,"19,608",37,"2,635",Racing
SurfsUp,Free,80.67%,Jul 2025,580,37,130,Racing
Need For Speed: Hot Pursuit,—,80.93%,Nov 2010,"49,863",37,"3,005",Racing
TT Isle Of Man: Ride on the Edge 3,$9.99,71.63%,May 2023,"3,599",36,238,Racing
Drag Racing 3D: Streets 2,Free,71.72%,Nov 2024,457,36,76,Racing
Automobilista,$9.99,85.96%,Feb 2016,"11,056",36,497,Racing
LEGO® 2K Drive,$11.99,61.09%,May 2023,"12,730",35,"1,039",Racing
Sonic Racing: CrossWorlds DemoDemo,Free,73.15%,Sep 2025,—,35,"1,964",Racing
Driving Life,$11.99,67.57%,Nov 2025,"2,228",33,59,Racing
HOT WHEELS UNLEASHED™,$39.99,76.59%,Sep 2021,"24,940",33,"2,579",Racing
