tag_name,url,game_count
Boxing,https://steamdb.info/tag/12190/,436
Illuminati,https://steamdb.info/tag/7478/,429
Jet,https://steamdb.info/tag/92092/,429
Werewolves,https://steamdb.info/tag/17015/,425
Mars,https://steamdb.info/tag/6702/,408
Motorbike,https://steamdb.info/tag/198913/,387
Golf,https://steamdb.info/tag/7038/,376
Basketball,https://steamdb.info/tag/1746/,353
World War I,https://steamdb.info/tag/5382/,345
Bikes,https://steamdb.info/tag/123332/,326
Rome,https://steamdb.info/tag/6948/,325
Submarine,https://steamdb.info/tag/19780/,324
Baseball,https://steamdb.info/tag/5727/,315
Dwarf,https://steamdb.info/tag/7918/,284
LEGO,https://steamdb.info/tag/1736/,278
Skateboarding,https://steamdb.info/tag/1753/,252
Mini Golf,https://steamdb.info/tag/22955/,242
Wrestling,https://steamdb.info/tag/47827/,238
Football (American),https://steamdb.info/tag/1254552/,208
Pool,https://steamdb.info/tag/17927/,204
Skating,https://steamdb.info/tag/96359/,191
Tennis,https://steamdb.info/tag/5914/,184
Cycling,https://steamdb.info/tag/19568/,176
Motocross,https://steamdb.info/tag/15868/,152
Warhammer 40K,https://steamdb.info/tag/12286/,151
Vikings,https://steamdb.info/tag/11634/,144
Hockey,https://steamdb.info/tag/324176/,131
Bowling,https://steamdb.info/tag/7328/,122
Lemmings,https://steamdb.info/tag/17337/,110
Skiing,https://steamdb.info/tag/7309/,104
Snowboarding,https://steamdb.info/tag/28444/,104
BMX,https://steamdb.info/tag/252854/,84
Elf,https://steamdb.info/tag/102530/,79
ATV,https://steamdb.info/tag/129761/,77
Indie,https://steamdb.info/tag/492/?min_reviews=500,115507
Action,https://steamdb.info/tag/19/?min_reviews=500,95943
Casual,https://steamdb.info/tag/597/?min_reviews=500,89407
Adventure,https://steamdb.info/tag/21/?min_reviews=500,86298
Simulation,https://steamdb.info/tag/599/?min_reviews=500,56006
RPG,https://steamdb.info/tag/122/?min_reviews=500,51573
Strategy,https://steamdb.info/tag/9/?min_reviews=500,50643
Action-Adventure,https://steamdb.info/tag/4106/?min_reviews=500,24177
Sports,https://steamdb.info/tag/701/?min_reviews=500,10573
Racing,https://steamdb.info/tag/699/,8993
Software,https://steamdb.info/tag/8013/,4074
2D,https://steamdb.info/tag/3871/?min_reviews=500,60488
3D,https://steamdb.info/tag/4191/?min_reviews=500,49505
Colorful,https://steamdb.info/tag/4305/?min_reviews=500,34206
Pixel Graphics,https://steamdb.info/tag/3964/?min_reviews=500,31213
Cute,https://steamdb.info/tag/4726/?min_reviews=500,31134
First-Person,https://steamdb.info/tag/3839/?min_reviews=500,28964
Anime,https://steamdb.info/tag/4085/?min_reviews=500,21294
Stylized,https://steamdb.info/tag/4252/?min_reviews=500,19853
Third Person,https://steamdb.info/tag/1697/?min_reviews=500,18839
Top-Down,https://steamdb.info/tag/4791/?min_reviews=500,17411
Realistic,https://steamdb.info/tag/4175/?min_reviews=500,17109
Cartoony,https://steamdb.info/tag/4195/?min_reviews=500,14570
Hand-drawn,https://steamdb.info/tag/6815/?min_reviews=500,11578
Minimalist,https://steamdb.info/tag/4094/?min_reviews=500,10980
VR,https://steamdb.info/tag/21978/,9297
Cartoon,https://steamdb.info/tag/4562/,8732
Cinematic,https://steamdb.info/tag/4145/,5977
Text-Based,https://steamdb.info/tag/31275/,5896
2.5D,https://steamdb.info/tag/4975/,5460
Isometric,https://steamdb.info/tag/5851/,5348
Abstract,https://steamdb.info/tag/4400/,4409
Comic Book,https://steamdb.info/tag/1751/,3648
Psychedelic,https://steamdb.info/tag/1714/,3407
Noir,https://steamdb.info/tag/6052/,1987
3D Vision,https://steamdb.info/tag/29363/,1640
Split Screen,https://steamdb.info/tag/10816/,1606
Voxel,https://steamdb.info/tag/1732/,1316
FMV,https://steamdb.info/tag/18594/,1203
Beautiful,https://steamdb.info/tag/5411/,1062
360 Video,https://steamdb.info/tag/776177/,367
Story Rich,https://steamdb.info/tag/1742/?min_reviews=500,33130
Combat,https://steamdb.info/tag/3993/?min_reviews=500,21422
Controller,https://steamdb.info/tag/7481/?min_reviews=500,18000
Female Protagonist,https://steamdb.info/tag/7208/?min_reviews=500,17190
Choices Matter,https://steamdb.info/tag/6426/?min_reviews=500,16170
PvE,https://steamdb.info/tag/6730/?min_reviews=500,15386
Linear,https://steamdb.info/tag/7250/?min_reviews=500,14757
PvP,https://steamdb.info/tag/1775/?min_reviews=500,14661
Open World,https://steamdb.info/tag/1695/?min_reviews=500,14403
Multiple Endings,https://steamdb.info/tag/6971/?min_reviews=500,14237
Physics,https://steamdb.info/tag/3968/?min_reviews=500,13038
Character Customization,https://steamdb.info/tag/4747/?min_reviews=500,12777
Crafting,https://steamdb.info/tag/1702/,8812
Resource Management,https://steamdb.info/tag/8945/,8319
Turn-Based Tactics,https://steamdb.info/tag/14139/,8262
Procedural Generation,https://steamdb.info/tag/5125/,8177
Turn-Based Combat,https://steamdb.info/tag/4325/,8161
Hack and Slash,https://steamdb.info/tag/1646/,7476
Tabletop,https://steamdb.info/tag/17389/,7395
Base Building,https://steamdb.info/tag/7332/,6562
Score Attack,https://steamdb.info/tag/5154/,5921
Text-Based,https://steamdb.info/tag/31275/,5896
Stealth,https://steamdb.info/tag/1687/,5334
Narration,https://steamdb.info/tag/5094/,5181
Conversation,https://steamdb.info/tag/15172/,5041
Deckbuilding,https://steamdb.info/tag/32322/,4487
Tutorial,https://steamdb.info/tag/12057/,4232
Nonlinear,https://steamdb.info/tag/6869/,4220
Team-Based,https://steamdb.info/tag/5711/,3797
Perma Death,https://steamdb.info/tag/1759/,3777
Inventory Management,https://steamdb.info/tag/6276/,3745
Artificial Intelligence,https://steamdb.info/tag/7926/,3296
Grid-Based Movement,https://steamdb.info/tag/7569/,2692
Level Editor,https://steamdb.info/tag/8122/,2692
Automation,https://steamdb.info/tag/255534/,2523
Moddable,https://steamdb.info/tag/1669/,2293
Class-Based,https://steamdb.info/tag/4155/,1956
Vehicular Combat,https://steamdb.info/tag/11104/,1863
Gun Customization,https://steamdb.info/tag/5765/,1818
Trading,https://steamdb.info/tag/4202/,1748
6DOF,https://steamdb.info/tag/4835/,1563
Bullet Time,https://steamdb.info/tag/5796/,1428
Quick-Time Events,https://steamdb.info/tag/4559/,1364
Time Manipulation,https://steamdb.info/tag/6625/,1311
FMV,https://steamdb.info/tag/18594/,1203
Dynamic Narration,https://steamdb.info/tag/9592/,1198
Hex Grid,https://steamdb.info/tag/1717/,1088
Naval Combat,https://steamdb.info/tag/4994/,618
Music-Based Procedural Generation,https://steamdb.info/tag/8253/,545
Asymmetric VR,https://steamdb.info/tag/856791/,239
Puzzle,https://steamdb.info/tag/1664/?min_reviews=500,32359
Action-Adventure,https://steamdb.info/tag/4106/?min_reviews=500,24177
Arcade,https://steamdb.info/tag/1773/?min_reviews=500,22588
Shooter,https://steamdb.info/tag/1774/?min_reviews=500,19522
Platformer,https://steamdb.info/tag/1625/?min_reviews=500,16739
Visual Novel,https://steamdb.info/tag/3799/?min_reviews=500,15963
Roguelike,https://steamdb.info/tag/1716/?min_reviews=500,12517
Sandbox,https://steamdb.info/tag/3810/?min_reviews=500,11544
Action RPG,https://steamdb.info/tag/4231/?min_reviews=500,11180
Point & Click,https://steamdb.info/tag/1698/?min_reviews=500,11070
Action Roguelike,https://steamdb.info/tag/42804/,9277
Interactive Fiction,https://steamdb.info/tag/11014/,8948
Turn-Based Strategy,https://steamdb.info/tag/1741/,8414
Tabletop,https://steamdb.info/tag/17389/,7395
Dating Sim,https://steamdb.info/tag/9551/,7104
Walking Simulator,https://steamdb.info/tag/5900/,7019
JRPG,https://steamdb.info/tag/4434/,6879
Education,https://steamdb.info/tag/1036/,6793
Party-Based RPG,https://steamdb.info/tag/10695/,6448
Card Game,https://steamdb.info/tag/1666/,6233
Life Sim,https://steamdb.info/tag/10235/,6188
Design & Illustration,https://steamdb.info/tag/84/,5408
Strategy RPG,https://steamdb.info/tag/17305/,4645
Utilities,https://steamdb.info/tag/87/,4530
Board Game,https://steamdb.info/tag/1770/,4302
RTS,https://steamdb.info/tag/1676/,4190
Tower Defense,https://steamdb.info/tag/1645/,4096
City Builder,https://steamdb.info/tag/4328/,3778
Web Publishing,https://steamdb.info/tag/1038/,3232
Beat 'em up,https://steamdb.info/tag/4158/,3177
Automobile Sim,https://steamdb.info/tag/1100687/,2756
2D Fighter,https://steamdb.info/tag/4736/,2623
Rhythm,https://steamdb.info/tag/1752/,2450
Farming Sim,https://steamdb.info/tag/87918/,2340
3D Fighter,https://steamdb.info/tag/6506/,2214
Auto Battler,https://steamdb.info/tag/1084988/,2027
Word Game,https://steamdb.info/tag/24003/,2022
eSports,https://steamdb.info/tag/5055/,1943
Colony Sim,https://steamdb.info/tag/220585/,1921
Grand Strategy,https://steamdb.info/tag/4364/,1900
Space Sim,https://steamdb.info/tag/16598/,1886
Animation & Modeling,https://steamdb.info/tag/872/,1803
MMORPG,https://steamdb.info/tag/1754/,1680
Battle Royale,https://steamdb.info/tag/176981/,1648
Audio Production,https://steamdb.info/tag/1027/,1209
God Game,https://steamdb.info/tag/5300/,1202
Party Game,https://steamdb.info/tag/7178/,1177
Video Production,https://steamdb.info/tag/784/,1139
4X,https://steamdb.info/tag/1670/,1045
MOBA,https://steamdb.info/tag/1718/,911
Photo Editing,https://steamdb.info/tag/809/,648
Trivia,https://steamdb.info/tag/10437/,645
Simulation,https://steamdb.info/tag/599/?min_reviews=500,56006
Survival,https://steamdb.info/tag/1662/?min_reviews=500,13898
Physics,https://steamdb.info/tag/3968/?min_reviews=500,13038
Medieval,https://steamdb.info/tag/4172/?min_reviews=500,11069
Management,https://steamdb.info/tag/12472/?min_reviews=500,10751
Sports,https://steamdb.info/tag/701/?min_reviews=500,10573
Immersive Sim,https://steamdb.info/tag/9204/?min_reviews=500,10434
Building,https://steamdb.info/tag/1643/,9825
Space,https://steamdb.info/tag/1755/,9193
Racing,https://steamdb.info/tag/699/,8993
Romance,https://steamdb.info/tag/4947/,8915
Crafting,https://steamdb.info/tag/1702/,8812
Nature,https://steamdb.info/tag/30358/,7552
Dating Sim,https://steamdb.info/tag/9551/,7104
Walking Simulator,https://steamdb.info/tag/5900/,7019
Base Building,https://steamdb.info/tag/7332/,6562
Life Sim,https://steamdb.info/tag/10235/,6188
War,https://steamdb.info/tag/1678/,5823
Stealth,https://steamdb.info/tag/1687/,5334
Investigation,https://steamdb.info/tag/8369/,5178
Economy,https://steamdb.info/tag/4695/,4987
Military,https://steamdb.info/tag/4168/,4838
Detective,https://steamdb.info/tag/5613/,4592
Driving,https://steamdb.info/tag/1644/,4204
Robots,https://steamdb.info/tag/5752/,4182
City Builder,https://steamdb.info/tag/4328/,3778
Artificial Intelligence,https://steamdb.info/tag/7926/,3296
Flight,https://steamdb.info/tag/15045/,3013
Parkour,https://steamdb.info/tag/4036/,2883
Automobile Sim,https://steamdb.info/tag/1100687/,2756
Crime,https://steamdb.info/tag/6378/,2702
Game Development,https://steamdb.info/tag/13906/,2612
Capitalism,https://steamdb.info/tag/4845/,2533
Automation,https://steamdb.info/tag/255534/,2523
Farming Sim,https://steamdb.info/tag/87918/,2340
Colony Sim,https://steamdb.info/tag/220585/,1921
Swordplay,https://steamdb.info/tag/4608/,1893
Space Sim,https://steamdb.info/tag/16598/,1886
Science,https://steamdb.info/tag/5794/,1797
Trading,https://steamdb.info/tag/4202/,1748
Agriculture,https://steamdb.info/tag/22602/,1540
World War II,https://steamdb.info/tag/4150/,1461
Martial Arts,https://steamdb.info/tag/6915/,1409
Underground,https://steamdb.info/tag/21006/,1397
Mechs,https://steamdb.info/tag/4821/,1358
Mining,https://steamdb.info/tag/5981/,1282
Transportation,https://steamdb.info/tag/10383/,1251
Fishing,https://steamdb.info/tag/15564/,1247
Pirates,https://steamdb.info/tag/1681/,1228
Underwater,https://steamdb.info/tag/9157/,1110
Trains,https://steamdb.info/tag/1616/,1103
Political,https://steamdb.info/tag/4853/,1103
Tanks,https://steamdb.info/tag/13276/,1061
Ninja,https://steamdb.info/tag/1688/,1025
Hunting,https://steamdb.info/tag/9564/,987
Political Sim,https://steamdb.info/tag/26921/,954
Politics,https://steamdb.info/tag/4754/,897
Hacking,https://steamdb.info/tag/5502/,892
Dinosaurs,https://steamdb.info/tag/5160/,853
Programming,https://steamdb.info/tag/5432/,811
Diplomacy,https://steamdb.info/tag/6310/,798
Naval,https://steamdb.info/tag/6910/,736
Heist,https://steamdb.info/tag/1680/,642
Sailing,https://steamdb.info/tag/13577/,625
Cold War,https://steamdb.info/tag/5179/,617
Archery,https://steamdb.info/tag/13382/,611
Football (Soccer),https://steamdb.info/tag/1254546/,554
Sniper,https://steamdb.info/tag/7423/,443
Boxing,https://steamdb.info/tag/12190/,436
Jet,https://steamdb.info/tag/92092/,429
Outbreak Sim,https://steamdb.info/tag/1100686/,415
Mars,https://steamdb.info/tag/6702/,408
Motorbike,https://steamdb.info/tag/198913/,387
Golf,https://steamdb.info/tag/7038/,376
Medical Sim,https://steamdb.info/tag/1100688/,358
Basketball,https://steamdb.info/tag/1746/,353
World War I,https://steamdb.info/tag/5382/,345
Bikes,https://steamdb.info/tag/123332/,326
Submarine,https://steamdb.info/tag/19780/,324
Baseball,https://steamdb.info/tag/5727/,315
Skateboarding,https://steamdb.info/tag/1753/,252
Mini Golf,https://steamdb.info/tag/22955/,242
Wrestling,https://steamdb.info/tag/47827/,238
Football (American),https://steamdb.info/tag/1254552/,208
Pool,https://steamdb.info/tag/17927/,204
Skating,https://steamdb.info/tag/96359/,191
Tennis,https://steamdb.info/tag/5914/,184
Cycling,https://steamdb.info/tag/19568/,176
Motocross,https://steamdb.info/tag/15868/,152
Vikings,https://steamdb.info/tag/11634/,144
Hockey,https://steamdb.info/tag/324176/,131
Bowling,https://steamdb.info/tag/7328/,122
Skiing,https://steamdb.info/tag/7309/,104
Snowboarding,https://steamdb.info/tag/28444/,104
BMX,https://steamdb.info/tag/252854/,84
ATV,https://steamdb.info/tag/129761/,77
Exploration,https://steamdb.info/tag/3834/?min_reviews=500,33587
2D Platformer,https://steamdb.info/tag/5379/?min_reviews=500,14609
Roguelite,https://steamdb.info/tag/3959/?min_reviews=500,11920
FPS,https://steamdb.info/tag/1663/?min_reviews=500,11730
Immersive Sim,https://steamdb.info/tag/9204/?min_reviews=500,10434
3D Platformer,https://steamdb.info/tag/5395/,9563
Action Roguelike,https://steamdb.info/tag/42804/,9277
Choose Your Own Adventure,https://steamdb.info/tag/4486/,8875
Side Scroller,https://steamdb.info/tag/3798/,8306
Turn-Based Tactics,https://steamdb.info/tag/14139/,8262
Shoot 'Em Up,https://steamdb.info/tag/4255/,8114
Hidden Object,https://steamdb.info/tag/1738/,8011
Puzzle Platformer,https://steamdb.info/tag/5537/,8011
Hack and Slash,https://steamdb.info/tag/1646/,7476
Bullet Hell,https://steamdb.info/tag/4885/,7472
Dungeon Crawler,https://steamdb.info/tag/1720/,6840
Clicker,https://steamdb.info/tag/379975/,6280
Top-Down Shooter,https://steamdb.info/tag/4637/,5453
Third-Person Shooter,https://steamdb.info/tag/3814/,5072
Time Management,https://steamdb.info/tag/16689/,4800
Idler,https://steamdb.info/tag/615955/,4556
Precision Platformer,https://steamdb.info/tag/3877/,4553
Collectathon,https://steamdb.info/tag/5652/,4519
Real Time Tactics,https://steamdb.info/tag/3813/,4213
Arena Shooter,https://steamdb.info/tag/5547/,3969
Tactical RPG,https://steamdb.info/tag/21725/,3648
Card Battler,https://steamdb.info/tag/791774/,3581
Wargame,https://steamdb.info/tag/4684/,3425
